"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,8903622037251,"Mamy Poko Pants M 56 Pants","Baby Care",950,1190,"Mamy Poko",5,5
2,8941100501351,"Meril Baby Toothbrush ","Baby Care",47,50,"SQUARE TOILETRIES LIMITED",9,9
3,8904009616762,"Huggies wonder pants xxl 15-25kg","Baby Care",850,1160,"MultiBrands Ltd",3,3
4,831176110381,"Lil Angel Baby Bath Sponge","Baby Care",135,185,"Angel Yellow Care LTD",1,1
5,11708101786300,Neocd,"Baby Care",0,0,"Incepta Hygiene and Hospicare Ltd",0,0
6,8941100500064,"Meril Baby Orange Toothpaste 45 gm","Baby Care",56,70,"SQUARE TOILETRIES LIMITED",12,12
7,9556006060001,"Jonsons baby bath milk+rice 200ml","Baby Care",194,235,"Jhonson and Jhonson Pvt Ltd",8,8
8,8904009616571,"Huggies Wonder pants 5pcs(M)","Baby Care",165,180,"MultiBrands Ltd",0,0
9,8850002907638,"Kodomo Happy Kids Gift Set ","Baby Care",510,680,"Pentagon international ltd ",3,3
10,8139003002116,"Savlon Twinkle Baby Diaper 4pcs M","Baby Care",1,120,"ACI Limited",74,74
11,8991111102658,"Johnsons Baby gift Set ","Baby Care",900,1250,"World malti Trade ",0,0
12,8850851535365,"Angel Rattle hood 240 ml","Baby Care",240,280,"Angel Yellow Care LTD",2,2
13,11708101791200,"Freshy Baby wet wipes 150sheets","Baby Care",0,0,"MultiBrands Ltd",0,0
14,8850002907645,"Kodomo Baby Gift Set 8pcs","Baby Care",1050,1400,"Pentagon international ltd ",3,3
15,831177120518,"Angel L size 250ml","Baby Care",150,200,"Q  Q TRADING LTD",0,0
16,8850851110074,"Angel  Fedding Bottle (RBA2A2) 60ml","Baby Care",160,200,"M H Trade International",4,4
17,8888300800450,"Kodomo Children Toothpaste 80gm","Baby Care",110,160,"Pentagon international ltd ",2,2
18,8850851110012,"Angel M size Anti-Coic Nipple","Baby Care",180,200,"Angel Yellow Care LTD",1,1
19,8850851534092,"Angel M Anti Colic Nipple 3+","Baby Care",190,238,"Angel Yellow Care LTD",1,1
20,8139003002475,"Savlon Twinkel Baby diaper XL 32pcs","Baby Care",725,950,"ACI Limited",2,2
21,4513574011793,"Pharmaact Zero Cleansing Oil 130g","Baby Care",1020,1320,"Japan Beauty Cosmetics ",0,0
22,8903622037350,"Mamy Poko Pants L 46 Pants","Baby Care",950,1190,"Mamy Poko",4,4
23,9556311891291,"Prodental B Children Toothbrush ","Baby Care",35,55,"Tradesworth Household Limited",5,5
24,831177120624,"Lil Angels Lollipop Ring Rattle","Baby Care",135,170,"Angel Yellow Care LTD",1,1
25,1403020419040,"Neo Care Baby Diaper 4pcs Small","Baby Care",79.05,100,"Incepta Hygiene and Hospicare Ltd",4,4
26,1403020419255,"Neo Care Baby Diaper 25 pcs small","Baby Care",370.55,625,"Incepta Hygiene and Hospicare Ltd",7,7
27,831176110862,"Lil Angels","Baby Care",30,50,"Angel Yellow Care LTD",4,4
28,8901012191354,"Jonsons baby bath milk soap 75g","Baby Care",67,77,"Jhonson and Jhonson Pvt Ltd",1,1
29,8850002805095,"Kodomo congratulaion gift Set ","Baby Care",814,1090,"Pentagon international ltd ",1,1
30,1708101791400,"Johnson's Baby Wipes 90 Sheet","Baby Care",125,200,"S M International",17,17
31,4710962433049,"Farlin baby pants waterproof","Baby Care",160,200,"Farlin Industrial Ltd",7,7
32,8850851700107,"Angel Water Filled Teether ","Baby Care",120,150,"M H Trade International",0,0
33,8888300800467,"Kodomo Children Toothpaste   Grape Flavor 80gm","Baby Care",110,160,"Pentagon international ltd ",1,1
34,8850851701715,"Angel  Food Feeder 140ml","Baby Care",170,212,"Angel Yellow Care LTD",6,6
35,8850851700428,"Angel Liquid Cleanser 300ml","Baby Care",220,250,"Angel Yellow Care LTD",2,2
36,831176110206,"Lil Angels Fider ","Baby Care",165,190,"Banijjo international",11,11
37,8850007020240,"Johnsons Baby soap 75 g","Baby Care",46,150,"Sohel Brothers",8,8
38,8690536855704,"Molfix Islak Havlu wet wipes 63 pcs","Baby Care",190,220,"FAIR DISTRIBUTION LTD",0,0
39,8139003002420,"Savlon Twinkle Baby daiper S 44 pieces","Baby Care",725,950,"ACI Limited",5,5
40,8903622031587,"Mamy Poko Pants Xl 38 Pants","Baby Care",950,1190,"Mamy Poko",5,5
41,815176110206,"Lil Angels Feed & Fun Time 125ml","Baby Care",0,0,"Angel Yellow Care LTD",0,0
