"SL No.","UPC Code","Item Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1105,0799439301702,"Dexe black hair shampoo  25ml*10",285,400,"Devine corporation Ltd",0,0
1106,11708252082500,"Dherosh KG",35,40,,0,0
1107,11709102121800,"Dhonia Kg",190,250,"Home Plus Own Collection",0,0
1108,11708101808400,"Diet Coke",30.8,35,"ABDUL MONEM LTD",0,0
1109,11708252078300,Dim,6.5,7.5,,0,0
1110,9415007013396,"Diploma Instant Full Cream Milk Powder 1KG",523,570,"New Zealand Dairy Products BdLtd",0,0
1111,9415007013390,"Diploma Instant Full Cream Milk Powder 400gm",215,240,"New Zealand Dairy Products BdLtd",0,0
1112,9415007013402,"DIploma Milk Powder 200gm",1,125,"New Zealand Dairy Products BdLtd",0,0
1113,2018800,"DIploma Milk Powder 500gm D500",264,290,"New Zealand Dairy Products BdLtd",0,0
1114,8906021073424,"Discovery Peanut Butter Chumkey 340gm",212,300,,0,0
1115,8942643488734,"Discovery Peanut Butter Chumkey 510gm",290,400,,0,0
1116,8906021073417,"Discovery Peanut Butter Smooth & Creamy 340gm",212,300,,0,0
1117,8942643422738,"Discovery Peanut Butter Smooth & Creamy 510gm",330,400,,0,0
1118,6295124024870,"Disguise carnival body spray men 200ml",188,285,,0,0
1119,6295124024610,"Disguise carnival perfume men 100ml",600,750,,0,0
1120,6295124024672,"Disguise carnival women body spray 100ml",600,750,,0,0
1121,6295124024887,"Disguise carnivals body spray women 200ml",188,285,,0,0
1122,6295124024900,"Disguise clandestine body spray women 200ml",188,285,,0,0
1123,6295124024894,"Disguise Clandestine men body spray 200ml",188,285,"Banijjo international",0,0
1124,6295124024627,"Disguise clandestine perfume men 100ml",600,750,,0,0
1125,6295124024924,"Disguise deception body spray men 200ml",188,285,,0,0
1126,6295124024917,"DISGUISE Deception men body spray 200ml",188,285,"Banijjo international",0,0
1127,6295124024634,"Disguise deception perfume men 100ml",600,750,,0,0
1128,6295124024696,"Disguise deception perfume women 100ml",600,750,,0,0
1129,6295124024931,"Disguise Masquerade men body spray 200ml",188,285,"Banijjo international",0,0
1130,6295124024702,"Disguise Masquerade perfume women 100gm",600,750,,0,0
1131,6295124024948,"Disguise Masquerade women body spray 200ml",188,285,"Banijjo international",0,0
1132,6295124024641,"Disguise masqurade perfume men 100ml",600,750,,0,0
1133,6295124024658,"Disguise reflation perfume men 100ml",600,750,,0,0
1134,6295124024955,"Disguise reflection body spray men 100ml",188,285,,0,0
1135,6295124024719,"Disguise reflection women perfume 100ml",600,750,,0,0
1136,6295124024979,"Disguise stimulate body spray men 100ml",188,285,,0,0
1137,6295124024726,"Disguise stimulate perfume men 100ml",600,750,"BRAND CONNECT",0,0
1138,6235124026726,"Disguise Stimulate women perfume 100ml",600,750,"Banijjo international",0,0
1139,8906068760844,"Divine Chocolate  Peanut Butter 277gm",163,185,"Devine corporation Ltd",0,0
1140,8906068760875,"Divine Chocolate  Peanut Butter 340gm",212,265,"Devine corporation Ltd",0,0
1141,8906068760851,"Divine Creamy Peanut Butter 340gm",212,250,"Devine corporation Ltd",0,0
1142,8906068760820,"Divine Peanut Butter Creamy 227gm",163,170,,0,0
1143,9415007864212,"doodles chicken curry 12 packs",168,195,"New Zealand Dairy Products BdLtd",0,0
1144,9415007584698,"doodles chicken curry 8packs",111,130,"New Zealand Dairy Products BdLtd",0,0
1145,9415007463180,"Doodles Chicken Masala Noodles 180gm",15.5,20,"New Zealand Dairy Products BdLtd",0,0
1146,9415007864112,"doodles masalla 12packs",175,195,"New Zealand Dairy Products BdLtd",0,0
1147,9415007231981,"Doodles Noodles Chicken Curry 288gm",56,66,"New Zealand Dairy Products BdLtd",0,0
1148,9415007551478,"Doodles Noodles Masala 288gm",56,66,,0,0
1149,9415007916598,"Doodles Noodles Masala 576gm",111,130,"New Zealand Dairy Products BdLtd",0,0
1150,9415007463300,"Doodles Stick Noodles Chicken Masala 300 gm",29,38,"New Zealand Dairy Products BdLtd",0,0
1151,8941102003501,"Doraemon Tooth Brush",20,60,"Matador Group",0,0
1152,8694402004043,"Doriva Magic chocolate box",550,690,"Home Plus Own Collection",0,0
1153,8694402004036,"Doriva Magic chocolate G",550,690,"Home Plus Own Collection",0,0
1154,8717163566282,"Dove Beautu Cream Bar",72.25,90,Uniliver,0,0
1155,8000700000005,"Dove beauty cream bar 100 gm",58.42,70,Uniliver,0,0
1156,8901030592928,"Dove Beauty Moisture Facial Cleanser 100gm",230,250,Uniliver,0,0
1157,8901030592911,"Dove Beauty Moisture Facial Cleanser 50gm",130,150,Uniliver,0,0
1158,8710908492440,"Dove beuty cream bar 50g",0,0,Uniliver,0,0
1159,8711600369443,"Dove body lotion",364,485,"Banijjo international",0,0
1160,8717163558799,"dove essential nourishment body lotion 250ml ",268.8,315,Uniliver,0,0
1161,8717163411216,"dove firming nourishing lotion 250ml",237,315,Uniliver,0,0
1162,045893038457,"Dove H.T color care condi. 355ml IMP",340,410,"Banijjo international",0,0
1163,8901030545412,"Dove H.T hair fall rescue condi. 355ml IMP",220,250,Uniliver,0,0
1164,8901030545382,"Dove H.T intense repair conditioner 180ml",210,250,Uniliver,0,0
1165,8941100644621,"Dove H.T intense repair shampoo 180ml",155,180,Uniliver,0,0
1166,8941100644171,"Dove hair fall rescue350ml",280,320,Uniliver,0,0
1167,8941100650592,"Dove Hair Therapy",155,180,Uniliver,0,0
1168,8941100644805,"Dove Hair Therapy 180 ml",155,180,Uniliver,0,0
1169,8901030453212,"Dove Hair Therapy 650 ml",580,680,Uniliver,0,0
1170,8941100645093,"Dove Hair Therapy Intense Repair 80 ml",78,90,Uniliver,0,0
1171,11708101781200,"Dove Hair Therapy Intense Repair Shampoo 180ml",0,0,Uniliver,0,0
1172,11708101781900,"Dove Hair Therapy Intense Repair Shampoo 80ml",0,0,Uniliver,0,0
1173,11708101782300,"Dove Hair Therapy Nourishing Oil Care Shampoo 180ml",0,0,Uniliver,0,0
1174,8941100644249,"Dove Hair Therapy shampo",288,320,Uniliver,0,0
1175,079400266545,"Dove men fortifying shampoo 355ml",340,410,"Banijjo international",0,0
1176,8941100644317,"Dove Noursing oil care 350ml",270,320,Uniliver,0,0
1177,8941100648711,"Dove Nutritive Solutions 180 ml",172.5,200,Uniliver,0,0
1178,11708101781500,"Dove Nutritive Solutions New Oxygen Moisture Shampoo 180ml",0,0,Uniliver,0,0
1179,8901030547027,"Dove oxygen moisture condi. 180ml",220,280,Uniliver,0,0
1180,8941100648704,"Dove oxyzen moisture shampoo 350ml",302,350,Uniliver,0,0
1181,067238891183,"Dove Pink Beauty Cream Bar 100 gm",58.42,70,Uniliver,0,0
1182,7501056349288,"Dove Pink/Rosa Beauty Bar 135 gm",72.25,90,Uniliver,0,0
1183,8711700946766,"Dove Purely Pampering Nourishing lotion 250ml",285,315,Uniliver,0,0
1184,8941102003174,"Dr.West Crystal Tooth Brush",17.5,60,"Matador Group",0,0
1185,11708312107300,"Dream chocolate essence ",38,50,"HAIKO CONSUMER PRODUCT",0,0
1186,180119790877,"Dream Grean colour ",38,50,"HAIKO CONSUMER PRODUCT",0,0
1187,180119790815,"Dream strawberry essence ",38,50,"HAIKO CONSUMER PRODUCT",0,0
1188,180119790884,"Dream yellow colour",38,50,"HAIKO CONSUMER PRODUCT",0,0
1189,180119790785,"Dreem Banana Flavour 28ml",38,50,"HAIKO CONSUMER PRODUCT",0,0
1190,180119790761,"Dreem Banana Jelly Powder 70gm",35,50,"HAIKO CONSUMER PRODUCT",0,0
