"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,1708101791400,"Johnson's Baby Wipes 90 Sheet","Baby Care",125,200,"S M International",19,19
2,1403020419040,"Neo Care Baby Diaper 4pcs Small","Baby Care",79.05,100,"Incepta Hygiene and Hospicare Ltd",16,16
3,831177120488,"Lil Angels Silicone Nipple","Baby Care",25.84,39,"Angel Yellow Care LTD",13,13
4,9556006000250,"Johonsons Baby Shampoo 200ml","Baby Care",180,225,"Sohel Brothers",6,6
5,200812061603,"Prodentalb Junior Children Toothpaste strawberry 40g","Baby Care",55,75,"Tradesworth Household Limited",1,1
6,11708121900000,Farli,"Baby Care",0,0,,0,0
7,8941183007054,"Fay Cotton Buds 140 cotton buds","Baby Care",60,75,"KALLOL LTD ",11,11
8,4710962421084,"Farlin Baby Wet Wipes 100Pcs","Baby Care",272.25,363,"Farlin Industrial Ltd",2,2
9,3574660209693,"johnsons Skincare baby Wipes 80pcs","Baby Care",280,350,"Mela International",12,12
10,8690536855100,"Molfix Islak Havlu wet wipes","Baby Care",190,220,"FAIR DISTRIBUTION LTD",5,5
11,4710962401239,"Farlin DJ Floss Pick ","Baby Care",210,275,"Farlin Industrial Ltd",5,5
12,8850851701814,"Angel you are ","Baby Care",160,200,"Angel Yellow Care LTD",4,4
13,8904009615116,"Hugges Wonder Pantes 48pants (S)","Baby Care",950,1190,"MultiBrands Ltd",0,0
14,831177120662,"Angel Cereal Feeder Bottle ","Baby Care",219,250,"Angel Yellow Care LTD",11,11
15,8850851532623,"Angel anti colic nipple 120ml","Baby Care",155,195,"Angel Yellow Care LTD",0,0
16,1403020419323,"Neocare baby diaper 32pcs(s)","Baby Care",632.32,800,"Incepta Hygiene and Hospicare Ltd",2,2
17,1403020412102,"Neocare baby diaper 10pcs(L)","Baby Care",232,340,"Incepta Hygiene and Hospicare Ltd",7,7
18,8904009616618,"Huggies Wonder Pants 18pcs(M)","Baby Care",440,620,"MultiBrands Ltd",3,3
19,8139003002123,"Savlon Twinkle Baby Diaper 28pcs M","Baby Care",1,725,"ACI Limited",17,17
20,8941100500064,"Meril Baby Orange Toothpaste 45 gm","Baby Care",56,70,"SQUARE TOILETRIES LIMITED",0,0
21,8850851110012,"Angel M size Anti-Coic Nipple","Baby Care",160,200,"Angel Yellow Care LTD",4,4
22,8850851534092,"Angel M Anti Colic Nipple 3+","Baby Care",190,238,"Angel Yellow Care LTD",1,1
23,8941100501351,"Meril Baby Toothbrush ","Baby Care",47,50,"SQUARE TOILETRIES LIMITED",38,38
24,831176110381,"Lil Angel Baby Bath Sponge","Baby Care",135,185,"Angel Yellow Care LTD",1,1
25,1403020424259,"Neo Care Baby Diaper 25 pcs XL","Baby Care",750,1000,"Incepta Hygiene and Hospicare Ltd",4,4
26,8139003002109,"Twinkle Baby diaper 30pcs(S)","Baby Care",1,650,"ACI Limited",16,16
27,831176110862,"Lil Angels","Baby Care",30,50,"Angel Yellow Care LTD",6,6
28,8139003002369,"Savlon Baby Wipes 60 pcs","Baby Care",126,150,"ACI Limited",16,16
29,8850851701715,"Angel  Food Feeder 140ml","Baby Care",150,188,"Angel Yellow Care LTD",4,4
30,8850851700428,"Angel Liquid Cleanser 300ml","Baby Care",187.5,250,"Angel Yellow Care LTD",1,1
31,9556311891291,"Prodental B Children Toothbrush ","Baby Care",33,55,"Tradesworth Household Limited",6,6
32,831177120624,"Lil Angels Lollipop Ring Rattle","Baby Care",135,170,"Angel Yellow Care LTD",6,6
33,8904009616717,"Huggies Wonder pants 20pcs(S)","Baby Care",484,620,"MultiBrands Ltd",6,6
34,11708121909400,"jhonsons Baby Feeder 150ml","Baby Care",100,130,"S M International",3,3
35,4710962431397,"Farlin DJ Anti BFN Aspirator","Baby Care",225,275,"Farlin Industrial Ltd",4,4
36,1403020413321,"NeoCare Baby Diaper m32pcs","Baby Care",759,960,"Incepta Hygiene and Hospicare Ltd",2,2
37,1403020419507,"Neocare baby diaper 50pcs(Small)","Baby Care",780,1150,"Incepta Hygiene and Hospicare Ltd",1,1
38,8850851534085♪,"Angel L Anti Colic Nipple 6+","Baby Care",0,0,"Angel Yellow Care LTD",0,0
39,815176110206,"Lil Angels Feed & Fun Time 125ml","Baby Care",0,0,"Angel Yellow Care LTD",0,0
40,8850851535372,"Angel anti colic nipple150ml","Baby Care",200,250,"Angel Yellow Care LTD",0,0
41,8941100500255,"Meril Baby Olive Oil 100 ml","Baby Care",183,210,"SQUARE TOILETRIES LIMITED",3,3
42,831177120617,"Lil Angels Nasal Aspirator","Baby Care",110,150,"Angel Yellow Care LTD",6,6
43,1403020424044,"Neo Care Baby Diaper 4 pcs XL","Baby Care",126.46,160,"Incepta Hygiene and Hospicare Ltd",11,11
44,8139003001706,"Savlon Baby wipes80s ","Baby Care",166.66,200,"ACI Limited",0,0
45,8941100500279,"Meril Baby Powder 100gm","Baby Care",68,80,"SQUARE TOILETRIES LIMITED",0,0
46,4710962441938,"Farlin the easy feeder","Baby Care",200,275,"Farlin Industrial Ltd",3,3
47,8410179001784,"Borges Olive Baby Oil 125ml","Baby Care",170,200,"Angel Yellow Care LTD",4,4
48,8850851110029,"Angel L size 240ml","Baby Care",180,213,"Angel Yellow Care LTD",3,3
49,9556006060308,"Jonsons baby bath milk+rice 100ml","Baby Care",120,159,"Jhonson and Jhonson Pvt Ltd",7,7
50,1403020412324,"Neocare Baby Diaper large 32pcs","Baby Care",742,1088,"Incepta Hygiene and Hospicare Ltd",4,4
51,8850851700411,"Angell Liquid Cleanser 500ml","Baby Care",250,300,"Angel Yellow Care LTD",3,3
52,9556311891116,"ProdentalB Junior Toothbrush ","Baby Care",75,105,"Tradesworth Household Limited",3,3
53,8904009616632,"Huggies Wonder Pants 5pcs L","Baby Care",185,199,"MultiBrands Ltd",0,0
54,8901012114025,"Jhonsons Baby Cream 50gm","Baby Care",113,138,"S M International",6,6
55,8901012116340,"Jhonsons Baby shampoo 100ml","Baby Care",125,150,"S M International",2,2
56,1403020413505,"NeoCare Baby Diaper m50pcs","Baby Care",955,1400,"Incepta Hygiene and Hospicare Ltd",4,4
