"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,8139003002420,"Savlon Twinkle Baby daiper S 44 pieces","Baby Care",725,950,"ACI Limited",6,6
2,8941100501351,"Meril Baby Toothbrush ","Baby Care",47,50,"SQUARE TOILETRIES LIMITED",27,27
3,831177120495,"Lil angles Nipple  m","Baby Care",30,39,"Angel Yellow Care LTD",0,0
4,831176110381,"Lil Angel Baby Bath Sponge","Baby Care",135,185,"Angel Yellow Care LTD",1,1
5,8941100500064,"Meril Baby Orange Toothpaste 45 gm","Baby Care",55,70,"SQUARE TOILETRIES LIMITED",6,6
6,1403020419323,"Neocare baby diaper 32pcs(s)","Baby Care",545.4,800,"Incepta Hygiene and Hospicare Ltd",2,2
7,1403020412102,"Neocare baby diaper 10pcs(L)","Baby Care",232,340,"Incepta Hygiene and Hospicare Ltd",0,0
8,8904009616618,"Huggies Wonder Pants 18pcs(M)","Baby Care",440,620,"MultiBrands Ltd",0,0
9,4902430540612,"Oral b stage 2","Baby Care",30,35,"Tradesworth Household Limited",0,0
10,8139003002123,"Savlon Twinkle Baby Diaper 28pcs M","Baby Care",1,725,"ACI Limited",16,16
11,8850851110012,"Angel M size Anti-Coic Nipple","Baby Care",180,200,"Angel Yellow Care LTD",3,3
12,8850851534092,"Angel M Anti Colic Nipple 3+","Baby Care",190,238,"Angel Yellow Care LTD",1,1
13,8690536855704,"Molfix Islak Havlu wet wipes 63 pcs","Baby Care",190,220,"FAIR DISTRIBUTION LTD",0,0
14,8901012189108,"Clean & Clear Natural Bright Face Wash 50ML","Baby Care",56,77,"Jhonson and Jhonson Pvt Ltd",1,1
15,8139003002475,"Savlon Twinkel Baby diaper XL 32pcs","Baby Care",725,950,"ACI Limited",3,3
16,8850851110036,"stony Angel (RxaA2)","Baby Care",170,250,"M H Trade International",2,2
17,4710962432004,"Farlin Baby FEeding Bottle Wash 500ml","Baby Care",320,410,"Farlin Industrial Ltd",0,0
18,8850002013605,"Kodomo baby powder Natural 200g","Baby Care",138,185,"Pentagon international ltd ",0,0
19,11804022734800,"Johonsons Baby Wipes 1850 cm+","Baby Care",248.6,360,"sm International Ltd ",9,9
20,8901012191323,"Johnson's Baby Soap 75g","Baby Care",67,77,"Sohel Brothers",0,0
21,4513574011793,"Pharmaact Zero Cleansing Oil 130g","Baby Care",1020,1320,"Japan Beauty Cosmetics ",0,0
22,8139003002451,"Savlon Twinkle Baby daiper L 36 pieces","Baby Care",525,950,"ACI Limited",5,5
23,9556311891291,"Prodental B Children Toothbrush ","Baby Care",35,55,"Tradesworth Household Limited",15,15
