"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,8139003002475,"Savlon Twinkel Baby diaper XL 32pcs","Baby Care",725,950,"ACI Limited",3,3
2,8139003003250,"Savlon Twinkle BAby Wips 80pcs","Baby Care",135,180,"ACI Limited",6,6
3,8901012191323,"Johnson's Baby Soap 75g","Baby Care",67,77,"Sohel Brothers",5,5
4,4513574011793,"Pharmaact Zero Cleansing Oil 130g","Baby Care",1020,1320,"Japan Beauty Cosmetics ",2,2
5,8904009616618,"Huggies Wonder Pants 18pcs(M)","Baby Care",440,620,"MultiBrands Ltd",0,0
6,8139003002123,"Savlon Twinkle Baby Diaper 28pcs M","Baby Care",1,725,"ACI Limited",17,17
7,1403020419255,"Neo Care Baby Diaper 25 pcs small","Baby Care",426,625,"Incepta Hygiene and Hospicare Ltd",6,6
8,4710962224227,"Farlin Silicone Nipple 3step ","Baby Care",50,63,"Farlin Industrial Ltd",0,0
9,8850851700404,"Angel Double Handle","Baby Care",160,220,"Angel Yellow Care LTD",5,5
10,200812061602,"ProdentalB Orange Junior Toothpaste ","Baby Care",55,75,"Tradesworth Household Limited",5,5
11,1403020419323,"Neocare baby diaper 32pcs(s)","Baby Care",545.4,800,"Incepta Hygiene and Hospicare Ltd",4,4
12,8901012113387,"Jhonsons Baby Oil 100ml","Baby Care",138,150,"S M International",0,0
13,8850851700626,"Angel baby mosqutio net","Baby Care",600,810,"Angel Yellow Care LTD",1,1
14,1403020412102,"Neocare baby diaper 10pcs(L)","Baby Care",232,340,"Incepta Hygiene and Hospicare Ltd",2,2
15,8901012111031,"Jhonsons Baby Powder 200gm","Baby Care",145,163,"S M International",0,0
16,831176110206,"Lil Angels Fider ","Baby Care",165,190,"Banijjo international",11,11
17,8690536855704,"Molfix Islak Havlu wet wipes 63 pcs","Baby Care",190,220,"FAIR DISTRIBUTION LTD",0,0
18,8139003002420,"Savlon Twinkle Baby daiper S 44 pieces","Baby Care",725,950,"ACI Limited",6,6
19,4710962141036,"Farlin Siliccone Gum Soother ","Baby Care",103,138,"Angel Yellow Care LTD",1,1
20,8139003002109,"Twinkle Baby diaper 30pcs(S)","Baby Care",1,650,"ACI Limited",14,14
21,831177120600,"Lil Angels Breast Pump","Baby Care",380,490,"Q  Q TRADING LTD",0,0
22,8850851511222,"Angel Silicone Nipple S size","Baby Care",25.84,35,"Angel Yellow Care LTD",13,13
23,8850851700275,"Angel Powder Puff ","Baby Care",168,225,"Angel Yellow Care LTD",4,4
24,831176110145,"Lil Angels Biberon 250ml","Baby Care",175,210,"Angel Yellow Care LTD",5,5
25,1403020424259,"Neo Care Baby Diaper 25 pcs XL","Baby Care",682,1000,"Incepta Hygiene and Hospicare Ltd",5,5
26,831177120631,"Lil Angels Spill Proof Sippy Cup","Baby Care",180,230,"Angel Yellow Care LTD",5,5
27,8850851700619,"Angel baby mosquito net (m)","Baby Care",560,750,"Angel Yellow Care LTD",4,4
28,8941100500248,"MERIL BABY LOTION 200ML","Baby Care",200,225,"SQUARE TOILETRIES LIMITED",2,2
29,8941100501580,"Meril Baby Soap 75gm","Baby Care",32,40,"SQUARE TOILETRIES LIMITED",20,20
30,8850007020240,"Johnsons Baby soap 75 g","Baby Care",46,150,"Sohel Brothers",8,8
31,8901012114193,"Johnsons Baby Milk Cream 100g","Baby Care",175,225,"Jhonson and Jhonson Pvt Ltd",3,3
32,831176010124,"Lil Angels Fider w","Baby Care",160,200,"Banijjo international",3,3
33,8139003002451,"Savlon Twinkle Baby daiper L 36 pieces","Baby Care",525,950,"ACI Limited",5,5
