"SL No.","UPC Code","Item Name","Company Name","Category Name","Purchase Price","Sale Price",Category,Offer,"Available Quantity"
959,8941100501276,"Sepnil Marigold Handwash 180ml","SQUARE TOILETRIES LIMITED","Home care",44.41,55,"Home care",0,13
960,8941183001526,"Jet Liquid 600ml ","KALLOL LTD ","Home care",115,130,"Home care",0,2
961,8901207500459,"odofresh ultra toilet cleaner","Asian Consumer Care","Home care",72,90,"Home care",0,14
962,8901157025071,"Hit cockroaches 200ml","Godrej Household Products BD Pvt  L","Home care",145,160,"Home care",0,6
963,8941100500385,"Xpel aerosol 250ml","SQUARE TOILETRIES LIMITED","Home care",145,175,"Home care",0,10
964,8901157025200,"Hit cockroaches 400ml","Godrej Household Products BD Pvt  L","Home care",204,260,"Home care",0,5
965,8941183001533,"Jet Liquid Detergent 1000ml","KALLOL LTD ","Home care",255,280,"Home care",0,2
966,8941100614617,"Lifebuoy Mild Care 200ml",Uniliver,"Home care",79.83,90,"Home care",0,7
967,8941102833337,"Harpic Turbo Gel 1Litre","Rekit benkezer ltd","Home care",124.5,145,"Home care",0,12
968,8941100282212,"Harpic Turbo Gel 500ml","Rekit benkezer ltd","Home care",79,95,"Home care",0,17
969,8941100501672,"Maxclean Antibactrial Dishwash 500ml","SQUARE TOILETRIES LIMITED","Home care",70,80,"Home care",0,9
970,200812060602,"Unik Power Thicker Formula 500ml","Tradesworth Household Limited","Home care",62,75,"Home care",0,9
971,8901157001068,"Good Knight Advanced Silver Refiill 45 Night ","Godrej Household Products BD Pvt  L","Home care",87.5,105,"Home care",0,7
972,8139003001188,"Wonder Antibacterial Dishwash Liquid 500ml","ACI Limited","Home care",65,80,"Home care",0,8
973,8901157003055,"Good Knight Advanced Powerlite Combi Pack 45 Night","Godrej Household Products BD Pvt  L","Home care",125,150,"Home care",0,5
974,8901157001136,"Good Knight Advanced Dual Power Mode","Godrej Household Products BD Pvt  L","Home care",110,125,"Home care",0,5
975,8901023011719,"Good Knight Xpress System Liquid Vapouriser","Godrej Household Products BD Pvt  L","Home care",105,125,"Home care",0,5
976,8941100280607,"Trix Lemon Dishwash Liquid 500ml","Rekit benkezer ltd","Home care",70,80,"Home care",0,1
977,8901157003017,"Good Knight Advanced Vapouriser System 45 Night","Godrej Household Products BD Pvt  L","Home care",108.7,150,"Home care",0,1
978,8901023011726,"Good Knight Xpress System Liquid Vapouriser 2x Dual Power Mo","Godrej Household Products BD Pvt  L","Home care",175,210,"Home care",0,1
979,9556202801026,"Cocorex Lemon Bleach ","Q  Q TRADING LTD","Home care",215,240,"Home care",0,1
980,8901157045116,"Aer Surf Blue Spray 300ml","Godrej Household Products BD Pvt  L","Home care",180,220,"Home care",0,10
981,8901207502965,"Odonil Orchid Dew Air Freshener","Asian Consumer Care","Home care",33.5,40,"Home care",0,3
982,6294015102376,"Armaf Enchanted Spring 300ml","Glo Brands","Home care",235,260,"Home care",0,4
983,6294015102345,"Armaf Enchanted Bloom 300ml","Glo Brands","Home care",235,260,"Home care",0,1
984,8941183005081,"Fay Rose Air Freshener e300ml","KALLOL LTD ","Home care",180,200,"Home care",0,1
985,6294015102369,"Armaf enchanted Romance ","Glo Brands","Home care",235,260,"Home care",0,1
986,5086230025339,"Fay Anti Tabacco Air Freshener e300ml","KALLOL LTD ","Home care",170,200,"Home care",0,1
987,8901157045093,"Aer Petal Crush Pink Spray 300ml","Godrej Household Products BD Pvt  L","Home care",180,220,"Home care",0,3
988,8941183005128,"Fay Jasmine Air Freshener e300ml","KALLOL LTD ","Home care",180,200,"Home care",0,1
989,8941183005135,"Fay Lily Air Freshener 300ml","KALLOL LTD ","Home care",170,200,"Home care",0,3
990,8941100501832,"Spring Anti Tobacco Air Freshener 300ml","SQUARE TOILETRIES LIMITED","Home care",185,210,"Home care",0,7
991,8941100500293,"Spring Floral Fresh Air Freshener 300ml","SQUARE TOILETRIES LIMITED","Home care",175,200,"Home care",0,9
992,8941100501191,"Spring Orange Fresh Air Freshener300ml","SQUARE TOILETRIES LIMITED","Home care",180,200,"Home care",0,15
993,8941100501207,"Spring Lemon Fresh Ari Freshener","BRAND CONNECT","Home care",178,200,"Home care",0,11
994,6294015102390,"Armaf Enchanted Ovintage Air Freshener 300ml","Glo Brands","Home care",235,260,"Home care",0,2
995,8941193073728,"Bashundhara White Facial Tissue 240 pcs","Bashundhara Paper Mills Ltd","Home care",42,52,"Home care",0,3
996,8941161000411,"Fresh White Tissue 120 sheets","Meghna Group of Industries","Home care",32,37,"Home care",0,10
997,8941193073513,"Bashundhara White Facial Tissue 120 pcs","Bashundhara Paper Mills Ltd","Home care",32,37,"Home care",0,1
998,8941183002530,"Fay Facial Tissue 180 sheets","KALLOL LTD ","Home care",48,50,"Home care",0,14
999,8941183002561,"Fay Facial Tissue 280 sheets","KALLOL LTD ","Home care",61,70,"Home care",0,3
1000,8941193078020,"Bashundhara Kitchen Towels","Bashundhara Paper Mills Ltd","Home care",43,57,"Home care",0,6
1001,8941193067017,"Bashundhara Gold Toilet Tissue","Bashundhara Paper Mills Ltd","Home care",19.5,25,"Home care",0,15
1002,8941183004527,"Fay Toilet Tissues ","KALLOL LTD ","Home care",21,25,"Home care",0,18
1003,8941193064054,"Bashundhara Paper napkin","Bashundhara Paper Mills Ltd","Home care",38.5,48,"Home care",0,7
1004,11708111875000,"Bashundhara Green Tissue ","Bashundhara Paper Mills Ltd","Home care",28,34,"Home care",0,1
1005,8941100651230,"Wheel 2 in 1 Clean & Rose Fresh 500 gm",Uniliver,"Home care",28,34,"Home care",0,13
1006,8941100501320,"Chaka Supper White 500 gm","SQUARE TOILETRIES LIMITED","Home care",44,50,"Home care",0,14
1007,8941100282113,"Harpic Cleaning Powder 200gm","Rekit benkezer ltd","Home care",30.84,35,"Home care",0,46
1008,8941100651254,"Wheel 2 in 1 Clean & Rose Fresh 1 kg",Uniliver,"Home care",59.23,65,"Home care",0,18
1009,8941100282120,"Harpic Cleaning Powder 400gm","Rekit benkezer ltd","Home care",52.86,60,"Home care",0,46
1010,8941100501337,"Chaka Supper White 1000 gm","SQUARE TOILETRIES LIMITED","Home care",87.08,95,"Home care",0,6
1011,8941100501443,"Chaka Ball Saban 130 gm","SQUARE TOILETRIES LIMITED","Home care",12.59,14,"Home care",0,103
1012,8941100651216,"Wheel 2 in 1 Clean & Fresh 500 gm",Uniliver,"Home care",31,34,"Home care",0,68
1013,8941100501382,"Maxclean Dishwash Bar 325gm","SQUARE TOILETRIES LIMITED","Home care",27,30,"Home care",0,14
1014,8941100501399,"Maxclean Dishwash Bar 110gm","SQUARE TOILETRIES LIMITED","Home care",9.09,10,"Home care",0,12
1015,8941100649893,"Rin Power Bright 500 gm",Uniliver,"Home care",45.83,50,"Home care",0,41
1016,8941100500361,"Chaka Advanced Smartest Ever Formulation 1000gm","SQUARE TOILETRIES LIMITED","Home care",59.5,60,"Home care",0,13
1017,8941100500354,"Chaka Advanced Smartest Ever Formulation 500 gm","SQUARE TOILETRIES LIMITED","Home care",29.56,32,"Home care",0,9
1018,8941100617700,"Vim Lemon Bar 125gm",Uniliver,"Home care",10.83,12,"Home care",0,95
1019,8139003000952,"Wonder Dishwash Bar","ACI Limited","Personal Care",9,12,"Personal Care",0,83
1020,8941102833481,"Trix Dish Washing Bar","Rekit benkezer ltd","Home care",22.52,25,"Home care",0,7
1021,8513691417481,"Fast Wash Brilliant White 500 gm","Kohinoor Chemical company Ltd","Home care",41.5,50,"Home care",0,16
1022,8941100651896,"Surf Excel Quick Wash 1 Kg ",Uniliver,"Home care",148.5,165,"Home care",0,15
1023,701197886735,"Uni Wash Detergent Powder 500gm","RSPL Health BD Ltd","Home care",55,60,"Home care",0,8
1024,8941100651872,"Surf Excel Quick Wash 500 gm",Uniliver,"Home care",76.5,85,"Home care",0,52
1025,200812190301,"Rok Bleaching Powder 500gm","Tradesworth Household Limited","Home care",30,42,"Home care",0,43
1026,200812190302,"Rok Bleaching Powder 200gm","Tradesworth Household Limited","Home care",17,22,"Home care",0,59
1027,8941100285008,"Mr.Brasso Refill 350 ml","Rekit benkezer ltd","Home care",81,90,"Home care",0,7
1028,200812060308,"Rok Floor Cleaner Lemon 500ml","Tradesworth Household Limited","Home care",80,110,"Home care",0,3
1029,200812060305,"Rok Floor Cleaner Jasminen 900ml","Tradesworth Household Limited","Home care",160,205,"Home care",0,7
1030,8139003001911,"Septex Floor Cleaner 500 ml","ACI Limited","Home care",96,115,"Home care",0,3
1031,200812060309,"Rok Floor Cleaner Rose 500ml","Tradesworth Household Limited","Home care",80,110,"Home care",0,3
1032,8139003001577,"Septex Floor Cleaner 1 Ltr ","ACI Limited","Home care",174,215,"Home care",0,6
1033,200812060201,"Rok Dishwashing Liquid 500ml","Tradesworth Household Limited","Home care",50,75,"Home care",0,8
1034,200812060401,"Rok Glasso Glass Cleaner Refil 350ml","Tradesworth Household Limited","Home care",55,70,"Home care",0,14
1035,200812061002,"Rok Woody Wood Cleaner 350ml","Tradesworth Household Limited","Home care",100,120,"Home care",0,13
1036,200812060402,"Rok Glasso Glass Cleaner Spray 350ml","Tradesworth Household Limited","Home care",75,110,"Home care",0,8
1037,200812060314,"Rok Floor Cleaner Pine 3litre","Tradesworth Household Limited","Home care",350,400,"Home care",0,5
1038,813903000585,"Cleanit Shinex 350 ml","ACI Limited","Home care",48,53,"Home care",0,11
1039,2008121090401,"Rok Phenyle 3 litre","Tradesworth Household Limited","Home care",110,140,"Home care",0,3
1040,200812060502,"Rok Sol 1 litre","Tradesworth Household Limited","Home care",80,110,"Home care",0,5
1041,200812060301,"Rok Floor Cleaner 1000ml","Tradesworth Household Limited","Home care",160,200,"Home care",0,7
1042,200812060501,"Rok Sol 500ml","Tradesworth Household Limited","Home care",50,75,"Home care",0,3
1043,8850291211409,"Tong Garden Cashew Nut","FAIR DISTRIBUTION LTD","Package Food",313,390,"Package Food",0,13
1044,8850291531309,"Tong Garden Cocktail Nut","Al-Madina Pvt Ltd","Package Food",313,390,"Package Food",0,17
1045,8850291291500,"Tong Garden Almonds","Al-Madina Pvt Ltd","Package Food",313,390,"Package Food",0,4
1046,8850291281303,"Tong Garden Pistachios","Al-Madina Pvt Ltd","Package Food",313,390,"Package Food",0,6
1047,8850291102165,"Tong Garden Green Pea","FAIR DISTRIBUTION LTD","Package Food",176,200,"Package Food",0,6
1048,8850291104909,"Sakura Plam","FAIR DISTRIBUTION LTD","Package Food",192,220,"Package Food",0,23
1049,9557062321129,"Mister Potato Chips Orginal 45gm","Q  Q TRADING LTD","Package Food",75,90,"Package Food",0,2
1050,8850291010408,"Tong Garden Salted Pistachios","FAIR DISTRIBUTION LTD","Package Food",79.4,95,"Package Food",0,8
1051,8850291210464,"Tong Garden salted Cashew Nut","FAIR DISTRIBUTION LTD","Package Food",79.4,95,"Package Food",0,1
1052,8850291530463,"Tong Garden Salted Cocktail Nut","FAIR DISTRIBUTION LTD","Package Food",79.4,95,"Package Food",0,17
1053,8850291510410,"Tong Garden Party Snack","FAIR DISTRIBUTION LTD","Package Food",20.3,25,"Package Food",0,14
1054,846656004296,"Pran Peanut Bar 30gm","Pran Company Ltd","Package Food",8.2,10,"Package Food",0,36
1055,841165116430,"Pran Big Mama wafer Biscuit","Pran Company Ltd","Package Food",8.5,10,"Package Food",0,52
1056,80768258,"Kinder Joy For Girls 20 gm","Al-Madina Pvt Ltd","Package Food",43,58,"Package Food",0,22
1057,8941114000215,"Chocoberry 10gm","GLOBE BISCUITS and DAIRY MI","Package Food",3.95,5,"Package Food",0,300
1058,8944000195576,"Center Fresh 20gm","Al-Madina Pvt Ltd","Package Food",10,15,"Package Food",0,52
