"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,8809340490852,"Angeur Baby wet Tissue 80 OH","Baby Care",165,215,,9,9
2,1403020412256,"Neo Care Baby Diaper 25 pcs Large ","Baby Care",580,850,"Incepta Hygiene and Hospicare Ltd",2,2
3,8850002805095,"Kodomo congratulaion gift Set ","Baby Care",815,1050,"Pentagon international ltd ",3,3
4,8904009616748,"Huggies Wonder Pants 28 pcs XL","Baby Care",650,1030,"MultiBrands Ltd",6,6
5,8850851700855,"Angel Step Trining Cup DCA04S2","Baby Care",240,290,"Angel Yellow Care LTD",3,3
6,8850851534092,"Angel M Anti Colic Nipple 3+","Baby Care",190,238,"Angel Yellow Care LTD",1,1
7,8941100501351,"Meril Baby Toothbrush ","Baby Care",47,50,"SQUARE TOILETRIES LIMITED",28,28
8,831176110381,"Lil Angel Baby Bath Sponge","Baby Care",135,185,"Angel Yellow Care LTD",1,1
9,8941100500064,"Meril Baby Orange Toothpaste 45 gm","Baby Care",55,70,"SQUARE TOILETRIES LIMITED",7,7
10,5000347005435,"Johnsons Baby  smapo 150ml","Baby Care",180,235,"Mela International",5,5
11,9556006060308,"Jonsons baby bath milk+rice 100ml","Baby Care",135,159,"Jhonson and Jhonson Pvt Ltd",13,13
12,4710962441938,"Farlin the easy feeder","Baby Care",220,275,"Farlin Industrial Ltd",5,5
13,8850851110012,"Angel M size Anti-Coic Nipple","Baby Care",180,200,"Angel Yellow Care LTD",3,3
14,8139003002659,"TWinkle Baby  Feeder 240ml","Baby Care",55,85,"ACI Limited",6,6
15,1403020413253,"Neo Care Baby Diaper 25 pcs (Medium 4-9 kg)","Baby Care",593,750,"Incepta Hygiene and Hospicare Ltd",5,5
16,8998866106030,"Kodomo Shampo 200Ml","Baby Care",205,250,"World malti Trade ",6,6
17,8904009616663,"Huggies Wonder pants 32pcs(L)","Baby Care",650,1030,"MultiBrands Ltd",11,11
18,9556006060353,"Johnsons Baby Lotion Milk Rice 200ml","Baby Care",268,312,"Jhonson and Jhonson Pvt Ltd",4,4
19,8139003002154,"Savlon Twinkle Baby Diaper 24pcs XL","Baby Care",1,750,"ACI Limited",11,11
20,8850851700428,"Angel Liquid Cleanser 300ml","Baby Care",220,250,"Angel Yellow Care LTD",1,1
21,1403020413505,"NeoCare Baby Diaper m50pcs","Baby Care",955,1400,"Incepta Hygiene and Hospicare Ltd",1,1
22,9556311891291,"Prodental B Children Toothbrush ","Baby Care",35,55,"Tradesworth Household Limited",15,15
23,831177120624,"Lil Angels Lollipop Ring Rattle","Baby Care",135,170,"Angel Yellow Care LTD",5,5
24,8850007100133,"Johnsons Bath TimeBaby Giftset s","Baby Care",470,690,"Home Plus Own Collection",1,1
25,831176110862,"Lil Angels","Baby Care",30,50,"Angel Yellow Care LTD",5,5
26,9556006060001,"Jonsons baby bath milk+rice 200ml","Baby Care",198,260,"Jhonson and Jhonson Pvt Ltd",5,5
27,8850851701715,"Angel  Food Feeder 140ml","Baby Care",150,188,"Angel Yellow Care LTD",2,2
28,8850851532616,"stony angel 6+","Baby Care",190,220,"Angel Yellow Care LTD",1,1
29,8888300120060,"Kodomo Soft& Slim brush ","Baby Care",110,150,"Pentagon international ltd ",9,9
30,8850002012547,"Kodomo Baby Shampo 100ML","Baby Care",125,150,"World malti Trade ",5,5
31,8904009616731,"Huggies Wonder Pants 16pcs XL","Baby Care",460,645,"MultiBrands Ltd",0,0
32,8850851534085♪,"Angel L Anti Colic Nipple 6+","Baby Care",0,0,"Angel Yellow Care LTD",0,0
33,1403020419101,"NeoCare Baby Diaper small 10pcs","Baby Care",170,250,"Incepta Hygiene and Hospicare Ltd",6,6
34,815176110206,"Lil Angels Feed & Fun Time 125ml","Baby Care",0,0,"Angel Yellow Care LTD",0,0
35,831177120617,"Lil Angels Nasal Aspirator","Baby Care",110,150,"Angel Yellow Care LTD",5,5
36,11708121909400,"jhonsons Baby Feeder 150ml","Baby Care",100,130,"S M International",1,1
37,8901012191354,"Jonsons baby bath milk soap 75g","Baby Care",67,77,"Jhonson and Jhonson Pvt Ltd",1,1
38,8850851510256,"Angel pacifier 6+","Baby Care",140,160,"Angel Yellow Care LTD",3,3
39,8850851532654,"Angel anti colic niple 120ml","Baby Care",155,195,"Angel Yellow Care LTD",0,0
40,4710962431397,"Farlin DJ Anti BFN Aspirator","Baby Care",225,275,"Farlin Industrial Ltd",4,4
41,8901012116685,"Johnsons Baby Milk Soap 75g","Baby Care",63.7,77,"Jhonson and Jhonson Pvt Ltd",5,5
42,8888300120084,"Kodomo soft baby brush ","Baby Care",110,150,"Pentagon international ltd ",9,9
43,8901012116562,"Johnsons Baby Powder 100g","Baby Care",72,87,"Jhonson and Jhonson Pvt Ltd",9,9
44,8139003002130,"Twinkle baby diaper 4pcs(L)","Baby Care",1,125,"ACI Limited",103,103
45,8850851700411,"Angell Liquid Cleanser 500ml","Baby Care",250,300,"Angel Yellow Care LTD",0,0
46,9556311891116,"ProdentalB Junior Toothbrush ","Baby Care",75,105,"Tradesworth Household Limited",8,8
47,8941100500279,"Meril Baby Powder 100gm","Baby Care",65.5,80,"SQUARE TOILETRIES LIMITED",13,13
48,1403020419255,"Neo Care Baby Diaper 25 pcs small","Baby Care",426,625,"Incepta Hygiene and Hospicare Ltd",5,5
49,8410179001784,"Borges Olive Baby Oil 125ml","Baby Care",170,200,"Angel Yellow Care LTD",3,3
50,8850851700626,"Angel baby mosqutio net","Baby Care",600,810,"Angel Yellow Care LTD",1,1
51,8850851110029,"Angel L size 240ml","Baby Care",190,213,"Angel Yellow Care LTD",6,6
52,11708101790900,"Jhonsons baby wipes 150 sheet","Baby Care",220,300,"S M International",10,10
53,8901012113370,"Johnsons Baby Oil 50ml","Baby Care",70,120,"Sohel Brothers",1,1
54,8888300800436,"kodomo Gel baby paste 40g","Baby Care",75,100,"Pentagon international ltd ",6,6
55,1403020412508,"Neocare baby diaper 50pcs(large)","Baby Care",1091,1600,"Incepta Hygiene and Hospicare Ltd",0,0
56,8901012118085,"Johnsosns Baby Hair Oil 100ml","Baby Care",180,210,"Jhonson and Jhonson Pvt Ltd",2,2
57,4801010104209,"Jhonsons Baby powder Milk-rice 100g","Baby Care",145,190,"Mela International",0,0
58,1403020413109,"Neo Care Baby Diaper 10 pcs Medium","Baby Care",237.2,300,"Incepta Hygiene and Hospicare Ltd",7,7
59,8139003002895,"Savlon Twinkle Feeder Nipple","Baby Care",13,20,"ACI Limited",21,21
60,8904009616601,"Huggies Wonder pants 38pcs(M)","Baby Care",650,1120,"MultiBrands Ltd",9,9
61,8139003002093,"Savlon Twinkle Baby Diaper 5pcs S","Baby Care",1,120,"ACI Limited",78,78
62,8850851700237,"Angel Power Puff with Sound","Baby Care",188,250,"Angel Yellow Care LTD",2,2
63,831177120501,"Lil Angels Biberon 125ml Sterilisable","Baby Care",150,180,"Angel Yellow Care LTD",0,0
64,8901012114025,"Jhonsons Baby Cream 50gm","Baby Care",119.5,138,"S M International",6,6
65,831177120600,"Lil Angels Breast Pump","Baby Care",380,490,"Q  Q TRADING LTD",0,0
66,8901012116340,"Jhonsons Baby shampoo 100ml","Baby Care",132,154,"S M International",3,3
67,8850851700619,"Angel baby mosquito net (m)","Baby Care",560,750,"Angel Yellow Care LTD",3,3
68,8941100500248,"MERIL BABY LOTION 200ML","Baby Care",200,225,"SQUARE TOILETRIES LIMITED",0,0
69,4710962224210,"Farlin Silicone Nipple 2nd Step","Baby Care",48,63,"Farlin Industrial Ltd",2,2
70,8901012191323,"Johnson's Baby Soap 75g","Baby Care",67,77,"Sohel Brothers",0,0
71,8888300800504,"Kodomo Chidren paste grape 40g","Baby Care",75,100,"Pentagon international ltd ",6,6
72,1403020413048,"Neocare baby diaper 4pcs(M)","Baby Care",94.86,120,"Incepta Hygiene and Hospicare Ltd",10,10
73,4801010561309,"jhonsons Baby Blossoms Soap75g","Baby Care",60,80,"World malti Trade ",6,6
74,8139003003250,"Savlon Twinkle BAby Wips 80pcs","Baby Care",135,180,"ACI Limited",10,10
75,8850851700336,"Angel Bottle Brush ","Baby Care",130,163,"Angel Yellow Care LTD",25,25
76,1403020419507,"Neocare baby diaper 50pcs(Small)","Baby Care",784,1150,"Incepta Hygiene and Hospicare Ltd",1,1
77,831176010148,"Lil Angels Biberon Sterilisable 125ml ","Baby Care",144,180,"Angel Yellow Care LTD",14,14
78,9556311225522,"ProdentanB Pixie C Brush ","Baby Care",70,100,"Tradesworth Household Limited",10,10
79,8941100500262,"Meril Baby Shampoo With Mild Conditioner 110ml","Baby Care",75,90,"SQUARE TOILETRIES LIMITED",12,12
80,8941100500231,"MERIL BABY LOTIN 100ML","Baby Care",94.4,125,"SQUARE TOILETRIES LIMITED",6,6
81,4710962224203,"Farlin Silicone Nipple 1Step ","Baby Care",50,63,"Farlin Industrial Ltd",0,0
82,11708101791100,"Johnson's Baby Wipes 220 Sheet ","Baby Care",249,360,"S M International",0,0
83,8850002010314,"Kodomo baby Bath Gentle Soft 100ml","Baby Care",125,148,"Pentagon international ltd ",5,5
84,1403020424501,"Neo Care Baby Diaper 50pcs XL","Baby Care",1501.98,1900,"Incepta Hygiene and Hospicare Ltd",0,0
85,8690536818150,"Molfix Junior 11-25 kg","Baby Care",80,160,"FAIR DISTRIBUTION LTD",2,2
86,4801010562108,"Jhonsons Baby Milk Soap 100g","Baby Care",60,80,"World malti Trade ",4,4
87,8904009616656,"Huggies Wonder Pants 16pcs L","Baby Care",430,585,"MultiBrands Ltd",0,0
88,8139003002147,"Twinkle Baby diaper 26pcs(L)","Baby Care",0,0,"ACI Limited",0,0
89,4710962141036,"Farlin Siliccone Gum Soother ","Baby Care",103,138,"Angel Yellow Care LTD",1,1
90,8850851700404,"Angel Double Handle","Baby Care",170,220,"Angel Yellow Care LTD",4,4
91,1403020412324,"Neocare Baby Diaper large 32pcs","Baby Care",742,1088,"Incepta Hygiene and Hospicare Ltd",1,1
92,200812061602,"ProdentalB Orange Junior Toothpaste ","Baby Care",55,75,"Tradesworth Household Limited",6,6
93,8901012113387,"Jhonsons Baby Oil 100ml","Baby Care",125,150,"S M International",3,3
94,8901012111031,"Jhonsons Baby Powder 200gm","Baby Care",145,163,"S M International",0,0
95,8850851532562,"Angel L Anti Colic Nipple 250ml","Baby Care",160,200,"Angel Yellow Care LTD",2,2
96,8850851532579,"Angel anti colic nipple130+","Baby Care",170,220,"Angel Yellow Care LTD",1,1
97,4710962224227,"Farlin Silicone Nipple 3step ","Baby Care",50,63,"Farlin Industrial Ltd",9,9
98,11708101791200,"Freshy Baby wet wipes 150sheets","Baby Care",0,0,"MultiBrands Ltd",0,0
99,8941100501184,"Meril Baby Brush & Paste  Combo ","Baby Care",56,90,"SQUARE TOILETRIES LIMITED",1,1
100,8850002016934,"Kodomo Head to toe Wash 100Ml","Baby Care",125,150,"Pentagon international ltd ",5,5
101,8850007020240,"Johnsons Baby soap 75 g","Baby Care",46,150,"Sohel Brothers",8,8
102,8690536818143,"Molfix Junior 7-18 kg","Baby Care",80,140,"FAIR DISTRIBUTION LTD",2,2
103,11708101786300,Neocd,"Baby Care",0,0,"Incepta Hygiene and Hospicare Ltd",0,0
104,8904009616571,"Huggies Wonder pants 5pcs(M)","Baby Care",165,180,"MultiBrands Ltd",0,0
105,8139003002116,"Savlon Twinkle Baby Diaper 4pcs M","Baby Care",1,120,"ACI Limited",83,83
106,8850851700275,"Angel Powder Puff ","Baby Care",168,225,"Angel Yellow Care LTD",0,0
107,8941100501719,"Meril Baby Tooth Brush","Baby Care",30,50,"SQUARE CONSUMER PRODUCTS",29,29
108,831176110145,"Lil Angels Biberon 250ml","Baby Care",175,210,"Angel Yellow Care LTD",4,4
109,831177120631,"Lil Angels Spill Proof Sippy Cup","Baby Care",180,230,"Angel Yellow Care LTD",5,5
110,8941100501580,"Meril Baby Soap 75gm","Baby Care",32,40,"SQUARE TOILETRIES LIMITED",17,17
111,8901012114018,"Johnson's Baby Cream 30 gm","Baby Care",75,97,"Jhonson and Jhonson Pvt Ltd",3,3
112,432516122011,"Kidz cotton wet Wipes","Baby Care",180,230,"kidz company",3,3
113,4513574012936,"Baby Oil Mineral 300ml","Baby Care",950,1450,"Japan Beauty Cosmetics ",0,0
114,8850851511222,"Angel Silicone Nipple S size","Baby Care",35,40,"Angel Yellow Care LTD",19,19
115,1708101791400,"Johnson's Baby Wipes 90 Sheet","Baby Care",125,200,"S M International",19,19
116,8850002804227,"Kodomo Baby Soap 75G","Baby Care",75,100,"Pentagon international ltd ",4,4
117,8690536818136,"Molfix Junior 4-9 kg","Baby Care",80,120,"FAIR DISTRIBUTION LTD",3,3
118,1403020419040,"Neo Care Baby Diaper 4pcs Small","Baby Care",79.05,100,"Incepta Hygiene and Hospicare Ltd",14,14
119,8850851702170,"Angel D Drinking Cup","Baby Care",150,200,"Angel Yellow Care LTD",0,0
120,8139003002475,"Savlon Twinkel Baby diaper XL 32pcs","Baby Care",725,950,"ACI Limited",3,3
121,831176110855,"Lil Angels Water Filled Teether","Baby Care",0,0,"Angel Yellow Care LTD",0,0
122,831177120655,"Lil Angels BPA Free","Baby Care",200,220,"Angel Yellow Care LTD",0,0
123,9556311891338,"ProdentalB Children Toothbrush ","Baby Care",40,65,"Tradesworth Household Limited",0,0
124,8850851535365,"Angel Rattle hood 240 ml","Baby Care",240,280,"Angel Yellow Care LTD",6,6
125,831177120518,"Angel L size 250ml","Baby Care",150,200,"Q  Q TRADING LTD",2,2
126,4513574011793,"Pharmaact Zero Cleansing Oil 130g","Baby Care",1020,1320,"Japan Beauty Cosmetics ",0,0
