"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,11803088980000,"Brut After Sahve 100ml","After Shave",290,300,,1,1
2,11910291617000,"Denim Aftershave 100ml","After Shave",172,180,,116,116
3,11908031471000,"Gillette 3 In 1 Moisturiser 50ML UK","After Shave",550,650,,13,13
4,11803088990000,"Gillette After Shave 100ml","After Shave",360,360,,0,0
5,11808141138000,"Tabac Aftershave 100ml","After Shave",750,800,,0,0
6,1802112000000,"Skin Expart Men Aftershave+BW Set","After Shave",700,750,,0,0
7,4701,"Fresh N Fresh Air-Freshner 300ml","Air Freshener",140,200,,0,0
8,"8850175010845 8850175010821 8850175014416     ","Glade Gel 70ml","Air Freshener",90,100,,3104,3104
9,1802117000000,"Ambi Pur Car Air Freshener 7ml","Air Freshener",400,500,,0,0
10,11803068760000,"Natural SPA 65ml","Air Freshener",120,120,,0,0
11,8850535630904,"ATM Air Freshener Refill 70gm","Air Freshener",30,35,,0,0
12,11803068740000,"Big Orange Airfreshner 320ml","Air Freshener",130,160,,200,200
13,8850535010812,"ATM Air Freshener Hangar 70gm","Air Freshener",36,45,,0,0
14,11803068720000,"Lupai/Lesiyuan  Car Air Freshener 100ml","Air Freshener",100,150,,650,650
15,"8992779139406 8992779140402 8992779136405     ","Glade Air Freshener 350ml","Air Freshener",200,250,,0,0
16,11804151014000,"Daily Fresh Gel 70gm","Air Freshener",160,200,,96,96
17,"8850175012290 8850175012276 8850175012283     ","Glade Scented Gel 200ml","Air Freshener",175,220,,224,224
18,8992779145100,"Glade Air Freshener 250ml","Air Freshener",140,180,,0,0
19,11803159330000,"Glade  Gel 75ml","Air Freshener",140,200,,0,0
20,8850175021667,"Glade Car 7ml","Air Freshener",240,500,,5,5
21,11803068750000,"Top Car Paper AirFreshner 2ml","Air Freshener",25,50,,327,327
22,11810091157000,"Abro Airfreshner 300ml","Air Freshener",90,100,,0,0
23,4056800891535,"GLADE MATIC DEVICE AUTO SET","Air Freshener",400,800,,0,0
24,11803159310000,"700 Car Air-Freshener ","Air Freshener",110,150,,52,52
25,8994037110011,"Oxy FW 100ml ","Air Freshener",210,240,,2300,2300
26,11803068730000,"700Car Freshner 150ml","Air Freshener",0,0,,0,0
27,"8850175018773 8850175018797 8850175018780     ","Glade Airfreshener 75ml","Air Freshener",140,200,,0,0
28,8850002016934,"Kodomo Top-to Wash 100ml","Baby Body Wash",100,120,,6,6
29,8850007090281,"Johnson Milk Bath 500ml","Baby Body Wash",360,400,,318,318
30,9556006060308,"Johnson Milk Bath 100ml","Baby Body Wash",110,115,,1437,1437
31,11904151335000,"JHONSON BATH 500+400RIFELL","Baby Body Wash",570,600,,1,1
32,8850002010352,"Kodomo Baby Bath 400ml","Baby Body Wash",380,380,,2,2
33,1802111800000,"Johnson Top To Toe 500ml","Baby Body Wash",350,400,,649,649
34,11802268400000,"Johnson Baby Bath Active Fresh 200ml","Baby Body Wash",150,200,,0,0
35,"8850002011892 8850002012554      ","Kodomo Shampoo 400ml","Baby Body Wash",360,380,,0,0
36,8850002010338,"Kodomo Baby Bath 200ml","Baby Body Wash",200,215,,3,3
37,11909241561000,"Kodomo Top To 200+100ml set","Baby Body Wash",250,360,,0,0
38,8850002010314,"Kodomo Baby Bath 100ml","Baby Body Wash",100,115,,34,34
39,9556006012086,"Johnson Top To Toe 100ml","Baby Body Wash",95,110,,73,73
40,11905081363000,"FROZEN BUBBLE BATH & SHOWER 400ml","Baby Body Wash",280,380,,36,36
41,9556006000304,"Johnson Milk Bath 200ml","Baby Body Wash",170,200,,1800,1800
42,11909161553000,"CUSSONS BABY Milk Bath 200ml ML","Baby Body Wash",120,120,,79,79
43,11804059720000,"Kodomo Body Wash 180ml Pump","Baby Body Wash",130,200,,39,39
44,8850002019690,"Kodomo Top-to Wash 400ml","Baby Body Wash",380,380,,30,30
45,9556006012093,"Johnson Top To Toe 200ml","Baby Body Wash",155,200,,1250,1250
46,11908031482000,"SPIDER-MAN BABBLE BATH  300ML ","Baby Body Wash",370,400,,6,6
47,8850002016958,"Kodomo Top-to Wash 200ml","Baby Body Wash",210,225,,2,2
48,11909151548000,"PUCELLE Baby Body Mist 75ml","Baby Cologne",100,250,,148,148
49,"8991111102719 8991111101613      ","Johnson Baby Cologne 125ml","Baby Cologne",160,180,,36,36
50,11909041504000,"Johnson's Baby Cologen Spray 250ml ","Baby Cologne Spray",530,550,,33,33
51,8993417502217,"B & B Cologne 120ml","Baby Cologne Spray",120,180,,55,55
52,11901221262000,"Bryl Hair Wax 75ml","Baby Cream",240,300,,86,86
53,11808091126000,"Johnson Baby Cream (Milk) 100ml","Baby Cream",340,350,,0,0
