"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1017,"8853252005963 8853252005956      ","Thanaka K.Brothers Soap 60gm",Soap,50,120,,8500,8500
1018,1802113680000,"Thi Baby Feeder Bottle 4Oz","Fider Brush",60,90,,114,114
1019,8859128304512,"Tomato Cream Day/Nigh 30g",Cream,300,500,,134,134
1020,8858989875230,"Tomato Lotion 500ml Thai","Baby Lotion",500,850,,1,1
1021,8858842053454,"Tomato Sooting Gel","Facial Gel",320,600,,0,0
1022,11803068750000,"Top Car Paper AirFreshner 2ml","Air Freshener",25,50,,734,734
1023,1802113440000,"Touch Me Puff","Faceial Sponge",350,400,,278.8,278.8
1024,1802111280000,"Tresemme Brush Set",Comb,240,400,,15,15
1025,"8851932350310 8851932350198      ","Tresemme Conditioner 480ml",Conditioner,370,450,,195,195
1026,"8999999041106 8999999041045 8999999041120     ","Tresemme Shampoo 170ml",Shampoo,180,190,,0,0
1027,8999999040956,"Tresemme Shampoo 340ml",Shampoo,340,360,,1,1
1028,"8851932350303 8851932350181 8851932350143     ","Tresemme Shampoo 480ml KS/PS/SR/SS",Shampoo,370,420,,468,468
1029,11804121007000,"Twin lotus herbal toothpaste 150ml",Toothpaste,150,200,,0,0
1030,11803078960000,"TWIN LOTUS SHAMPOO 200ML",Shampoo,300,450,,0,0
1031,8850348530019,"TWIN LOTUS SHAMPOO 300ML",Shampoo,500,650,,0,0
1032,8853252009923,"USA Black Soap 50gm",Soap,26,30,,7,7
1033,11803279620000,"V 7 To Night Cream  50ml",Cream,400,400,,0,0
1034,11808191140000,"V-C Lotion 99% 200ml","Body Lotion",700,1000,,13,13
1035,11808191141000,"V-C Soap 99% 75ml",Soap,170,250,,247,247
1036,8858311001320,"Vampier Soap 100ml",Soap,140,200,,0,0
1037,1802118500000,"Vampire Lotion 500ml","Body Lotion",400,900,,1,1
1038,11808091120000,"Vampire Serum 120ml","Body Lotion",340,800,,79,79
1039,8901030025280,"Vaseline Hair Tonic 100ml","Hair Tonic",90,100,,179,179
1040,8851932143578,"Vaseline Hand & Nails Lotion 85ml","Body Lotion",200,240,,32,32
1041,"6001085120946 60022141 60022127 6001085121028 60019066 42182634  ","Vaseline Jelly 100ml","Petrolium Jelly",100,120,,1003,1003
1042,"6001087005647 6001087010894 6001087010870     ","Vaseline Jelly 250ml","Petrolium Jelly",240,260,,22,22
1043,5099802150117,"Vaseline lip Tharapy","Lip Gel",110,150,,0,0
1044,11802278500000,"Vaseline lotion 100ml","Baby Lotion",110,130,,1,1
1045,1802116700000,"Vaseline Lotion 200ml","Body Lotion",170,220,,0,0
1046,1802116500000,"Vaseline Lotion 400ml","Body Lotion",290,310,,297,297
1047,"8851932143370 8851932283953      ","Vaseline Lotion Deep/ Healthy White 600ml Thai","Body Lotion",500,650,,2,2
1048,"8999999001988 8999999034030      ","Vaseline Men FW 100ml","Face Wash",200,250,,557,557
