"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,11804161043000,"Cathy Doll Magic cream 60gm",Cream,220,500,,85,85
2,11804161038000,"Cathy doll snail bright 50ml",Cream,700,1000,,22,22
3,11803078950000,"Face Mask ",Mask,150,200,,0,0
4,11803068830000,"Peiyen 99% Lipstick Slim 8508","Lip Gel",41,60,,122,122
5,1802114760000,"24K Gold Mask 220ml","Peel of Musk",250,300,,32,32
6,"8859128303829 8859128302372 8859128302334 8859128302310 8859128302945 8859128302358  ","3D Face Mask","Facial Gel",350,500,,329,329
7,1802113760000,"3Dee Glass Cleaner 300ml","Glass Cleaner",80,100,,0,0
8,1802111430000,"3Diamond Cotton Bud Adult 2001","Cotton Bud",250,350,,200,200
9,11803159310000,"700 Car Air-Freshener ","Air Freshener",110,150,,357,357
10,11803068730000,"700Car Freshner 150ml","Air Freshener",0,0,,0,0
11,11803058650000,"99% Aloe Vera Baby Lipsticks ",Lipstick,17,30,,1296,1296
12,11803119190000,"99% Sooting Gel 250ml","Facial Toner",135,150,,197,197
13,1802112910000,"Acmonica Eye Brow",Eyeliner,50,80,,621,621
14,8992821100415,"Acnes sealing gel 9 ml",Cream,160,200,,12,12
15,11802288550000,"Acnes Soap 80g",Soap,70,120,,591,591
16,1802113050000,"Acness FW 100ml","Face Wash",180,240,,111,111
17,1802113170000,"Acness FW 50ml","Face Wash",100,140,,147,147
18,"3607343816656 3607345401119 3607345380247 3614222813781    ","Adidas Body Spray 150ml","Body Spray",160,165,,106,106
19,"3607343871273 3607343871174 3607343871228     ","Adidas Rollon 50ml","Deo Roll On",120,150,,184,184
20,"3607340723346 3607340722127 3607340725982 3607343567893 3607340726682   ","Adidas Shower Gel 250ml","Body Wash",140,180,,25,25
21,"031655530079 031655671222      ","ADIDAS STICK","Deo Stick",100,200,,235,235
22,18851299001174,"Aim Brush",Toothbrush,60,80,,576,576
23,11802268300000,"Aini fresh Edt perfume 100ML	","Body Mist",160,350,,3,3
24,1802114080000,"Almas Mehedi","Hand Gloves",35,40,,1,1
25,8859010900051,"Almaya Whitening perl Cream 5g",Cream,140,180,,356,356
26,8859239301349,"Aloevera Snail Soap 70g",Soap,100,160,,94,94
27,8858907800078,"Alpha Arbutin Soap 70g",Soap,140,200,,443,443
28,1802117000000,"Ambi Pur Car Air Freshener 7ml","Air Freshener",400,500,,0,0
29,8992895141154,"Anais BS 150ml","Body Spray",650,850,,26,26
30,8859244200019,"Anasia Nail Remover 120ml","Nail Remover",90,120,,1468,1468
31,8859244200026,"Anasia Nail Remover 45ml","Nail Remover",40,60,,3455,3455
32,11804121004000,"Anchore Brand Brush","Show polish",54.17,100,,300,300
33,1802111610000,"Angelina Eye Brow",Eyebrow,50,80,,0,0
34,1802114560000,"Angelina Nail Remover 100ml","Nail Remover",90,120,,0,0
35,1802114600000,"Angelina Nail Remover 20ml","Nail Remover",40,60,,101,101
36,"8850722126869 8858918300932      ","Annasia Lip Gloss 4ml","Lip Gel",40,60,,151,151
37,11802288640000,"Anovia Kids Sunlotion 65ml","Baby Lotion",220,250,,0,0
38,8851495001117,"Anti Lice Shampoo 200ML",Shampoo,300,500,,67,67
39,"8851495003296 8851495002572      ","Anti Lice Shampoo 20ML",Shampoo,45,60,,605,605
40,6001424129906,"Aquafresh Brush (C)",Toothbrush,30,33,,31,31
41,5000347000898,"Aquafresh Toothpaste 100ml",Toothpaste,160,180,,0,0
42,8850252030049,"Arche Pearl Cream 3ml",Cream,552,600,,50.7,50.7
43,1802111560000,"Argan Hair Treatment","Hair Treatment",260,300,,0,0
44,5060120163714,"Argan Oil  100ml","Hair Treatment",240,250,,1,1
45,1802111570000,"Argan Oil  50ml","Hair Treatment",140,150,,1,1
46,8853502010280,"Argeville USA Black Soap 120gm",Soap,80,85,,1184,1184
47,"3360372115601 3360372058892      ","Armani Body Spray 150ml","Body Spray",1050,1250,,3,3
48,8850722092751,"Aron Aloe Face wash 150ml","Face Wash",150,280,,1310,1310
49,8850722067933,"Aron Baby lipstick 16ml",Lipstick,160,250,,56,56
50,"8850722129471 8850722129464 8850722068893     ","Aron BB Magic Lip Care 3.5gm","Lip Gel",50,80,,3553,3553
51,1802114210000,"Aron Color Lip Care 3.5g","Lip Gel",80,90,,0,0
52,8850722131795,"Aron Eye Brow",Eyeliner,50,80,,0,0
53,8850722180328,"Aron Eyeliner",Eyeliner,90,120,,421,421
54,8850722080277,"Aron Eyeshadow Platte 12 Colour",Eyeshadow,300,400,,0,0
55,"8850722291659 8850722291666      ","Aron Gluta Face& Body Scrub 150ml","Face Wash",200,250,,162,162
56,8850722044590,"Aron Gluta Milky Body Lotion 800ml","Body Lotion",600,850,,95,95
57,8850722400068,"Aron Goat Milk Hair Treatment 500ml","Hair Treatment",350,400,,16,16
58,"8850722043708 8850722200514      ","Aron Gold Lotion UV50 300ml","Body Lotion",200,350,,492,492
59,8850722129259,"Aron Imortal Lipstick",Lipstick,150,180,,218,218
60,8850722044323,"Aron Lemon Whitening Body Lotion 400ml","Body Lotion",300,480,,299,299
61,11803199500000,"Aron Lip Plate Set",Lipstick,300,400,,10,10
62,8850722126852,"Aron Lip Tiant Colour",Lipstick,80,120,,439,439
63,"8850722093017 8850722092928      ","Aron milky Charcoal facewash 190ml","Face Wash",160,250,,1557,1557
64,8850722039121,"Aron Oil Control Face Powder 14g",Facepowder,90,150,,1374,1374
65,8850722044620,"Aron Snail Now Body Lotion 400ml","Body Lotion",300,400,,0,0
66,11804151030000,"Aron Snail White Body Lotion 800ml","Body Lotion",600,800,,107,107
67,8853955002979,"Aron UV Lipgloss 3.2ml","Lip Gel",100,120,,0,0
68,8850722043647,"Aron UV Lotion 250ml","Body Lotion",180,200,,106,106
69,8850722043203,"Aron V-E Serum Lotion 400ml","Body Lotion",200,380,,193,193
70,1802114190000,"Aron Vitamin-E Moisturizing Lip Care 3.5g","Lip Gel",80,120,,46,46
71,8850722093079,"Aron Water Melon F.W 190ml","Face Wash",160,250,,581,581
72,8850722091990,"Aron Whitening Oil Control Facial Fome 210ml","Face Wash",150,220,,311,311
73,8850273151303,"ART Rat Killer 80ml","Baygon Spray",85,120,,121,121
74,8855753000010,"Asantee Tamarind Goat Milk Soap 135g",Soap,90,150,,130,130
75,"7640129890118 7640129892198 7640129892662     ","Asap Soap 80gm",Soap,70,90,,355,355
76,50007820,"Astral Cream 50ml",Cream,120,130,,14,14
77,8850535010812,"ATM Air Freshener Hangar 70gm","Air Freshener",38,42,,3157,3157
78,8850535630904,"ATM Air Freshener Refill 70gm","Air Freshener",28,32,,1068,1068
79,11804151029000,"ATM Napthaline  50ml",Napthaline,276,350,,175,175
80,8859288000569,"Aura White Virgin Soap 120gm",Soap,120,300,,24,24
81,"8888047857045 8888047857014      ","Aussie Hand Wash 414ml","Hand Wash",100,120,,99,99
