"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,1802112000000,"Skin Expart Men Aftershave+BW Set","After Shave",700,750,,0,0
2,11808141138000,"Tabac Aftershave 100ml","After Shave",750,800,,0,0
3,11803088990000,"Gillette After Shave 100ml","After Shave",360,360,,0,0
4,11803088980000,"Brut After Sahve 100ml","After Shave",290,300,,1,1
5,"8992779139406 8992779140402 8992779136405     ","Glade Air Freshener 350ml","Air Freshener",200,250,,0,0
6,11803068760000,"Natural SPA 65ml","Air Freshener",120,120,,13,13
7,11804151014000,"Daily Fresh Gel 70gm","Air Freshener",160,200,,277,277
8,"8850175012290 8850175012276 8850175012283     ","Glade Scented Gel 200ml","Air Freshener",170,180,,0,0
9,11803068740000,"Big Orange Airfreshner 320ml","Air Freshener",130,160,,215,215
10,11803068720000,"Lupai/Lesiyuan  Car Air Freshener 100ml","Air Freshener",100,150,,665,665
11,1802117000000,"Ambi Pur Car Air Freshener 7ml","Air Freshener",400,500,,0,0
12,11803159330000,"Glade  Gel 75ml","Air Freshener",140,200,,0,0
13,8850535630904,"ATM Air Freshener Refill 70gm","Air Freshener",30,35,,2243,2243
14,11803159310000,"700 Car Air-Freshener ","Air Freshener",110,150,,52,52
15,8850535010812,"ATM Air Freshener Hangar 70gm","Air Freshener",36,40,,8189,8189
16,"8850175018773 8850175018797 8850175018780     ","Glade Airfreshener 75ml","Air Freshener",140,200,,0,0
17,"8850175010845 8850175010821 8850175014416     ","Glade Gel 70ml","Air Freshener",90,100,,1964,1964
18,11803068750000,"Top Car Paper AirFreshner 2ml","Air Freshener",25,50,,543,543
19,4056800891535,"GLADE MATIC DEVICE AUTO SET","Air Freshener",400,800,,40,40
20,11803068730000,"700Car Freshner 150ml","Air Freshener",0,0,,0,0
21,8992779145100,"Glade Air Freshener 250ml","Air Freshener",140,180,,0,0
22,4701,"Fresh N Fresh Air-Freshner 300ml","Air Freshener",140,200,,0,0
23,8850175021667,"Glade Car 7ml","Air Freshener",240,500,,1,1
24,11810091157000,"Abro Airfreshner 300ml","Air Freshener",90,100,,28,28
25,8994037110011,"Oxy FW 100ml ","Air Freshener",200,240,,0,0
26,"8850002011892 8850002012554      ","Kodomo Shampoo 400ml+180ml Powder ","Baby Body Wash",400,470,,461,461
27,9556006012093,"Johnson Top To Toe 200ml","Baby Body Wash",155,200,,126,126
28,8850002016958,"Kodomo Top-to Wash 200ml","Baby Body Wash",180,220,,78,78
29,8850002016934,"Kodomo Top-to Wash 100ml","Baby Body Wash",100,115,,97,97
30,8850007090281,"Johnson Milk Bath 500ml","Baby Body Wash",350,400,,53,53
31,11802268400000,"Johnson Baby Bath Active Fresh 200ml","Baby Body Wash",150,200,,0,0
32,9556006060308,"Johnson Milk Bath 100ml","Baby Body Wash",105,120,,72,72
33,11804059720000,"Kodomo Body Wash 180ml Pump","Baby Body Wash",130,200,,600,600
34,8850002010352,"Kodomo Baby Bath 400ml","Baby Body Wash",350,370,,165,165
35,1802111800000,"Johnson Top To Toe 500ml","Baby Body Wash",350,400,,373,373
36,8850002010338,"Kodomo Baby Bath 200ml","Baby Body Wash",190,215,,492,492
37,8850002010314,"Kodomo Baby Bath 100ml","Baby Body Wash",100,115,,288,288
38,9556006012086,"Johnson Top To Toe 100ml","Baby Body Wash",88,110,,0,0
39,9556006000304,"Johnson Milk Bath 200ml","Baby Body Wash",160,200,,1717,1717
40,8850002019690,"Kodomo Top-to Wash 400ml","Baby Body Wash",370,380,,82,82
41,"8991111102719 8991111101613      ","Johnson Baby Cologne 125ml","Baby Cologne",160,180,,64,64
42,8993417502217,"B & B Cologne 120ml","Baby Cologne Spray",120,180,,57,57
43,11901221262000,"Bryl Hair Wax 75ml","Baby Cream",280,300,,152,152
44,88530215,"Johnson Baby Cream Milk/Pink 100ml","Baby Cream",270,285,,0,0
45,11808091123000,"Johnson Baby Cream (Pink) 50ml","Baby Cream",175,200,,899,899
46,11803068900000,"Johnson Baby Cream Milk 50ml","Baby Cream",200,200,,0,0
47,11808091126000,"Johnson Baby Cream (Milk) 100ml","Baby Cream",300,320,,0,0
48,"88531649 88530208      ","Johnson Baby Cream Milk/Pink 50ml","Baby Cream",180,190,,0,0
49,11808091124000,"Johnson Baby Cream (MIlk) 50ml","Baby Cream",200,220,,120,120
50,11809091147000,"Kodomo gift box Juri","Baby Gift Set",1000,1200,,0,0
51,8850002907645,"Kodomo Gift Set Large Box","Baby Gift Set",800,880,,0,0
52,1802112400000,"Johnson Gift Set Small","Baby Gift Set",440,450,,1258,1258
53,8850002907638,"Kodomo Gift Set Small","Baby Gift Set",450,500,,0,0
54,11809091146000,"Johnson Gift Box Small","Baby Gift Set",430,460,,0,0
55,8998103001029,"Cussons Baby Set Mini","Baby Gift Set",260,300,,0,0
56,1802112300000,"Johnson Gift Set Large","Baby Gift Set",700,850,,168,168
57,11804059710000,"Johnson Gift Box Large (Paper)","Baby Gift Set",750,850,,0,0
58,11803109110000,"Vipada Whitening Lotion 200ml","Baby Lotion",165,220,,1,1
59,11802258290000,"Isme Lotion 150ml","Baby Lotion",160,200,,0,0
60,9556006060353,"Johnson Baby Lotion 200ml (Milk)","Baby Lotion",200,240,,0,0
61,11802288590000,"Nivea Lotion 100ml","Baby Lotion",100,150,,342,342
62,11803089070000,"Dove Lotion 400ml","Baby Lotion",290,320,,0,0
63,8850002019614,"Kodomo Lotion 200ml","Baby Lotion",220,245,,0,0
64,11806111080000,"Mother Care Lotion 300ml","Baby Lotion",430,430,,0,0
65,11805081048000,"Jhonsons Baby lotion 100ml Pink","Baby Lotion",92,105,,1704,1704
66,11812151225000,"WATSON ENRICHED BODY LOTION 400ML","Baby Lotion",280,550,,164,164
67,11812151223000,"Watson Whitening Body Lotion 500ml","Baby Lotion",300,550,,14,14
68,11901061254000,"Alpha Arbutin 3plus Lotion 500ml","Baby Lotion",560,560,,105,105
69,"8850007032274 8850007032267      ","Johnson Baby Lotion 500ml","Baby Lotion",450,550,,0,0
70,11802288640000,"Anovia Kids Sunlotion 65ml","Baby Lotion",220,250,,140,140
71,8858989875230,"Tomato Lotion 500ml Thai","Baby Lotion",500,850,,0,0
72,11808091119000,"eighteen white venut Lotion 500ml","Baby Lotion",250,500,,315,315
73,11901031246000,"DOVE BABY LOTION 200ML","Baby Lotion",250,270,,15,15
74,11809091150000,"MISTEN BODY SERUM 150ML","Baby Lotion",150,350,,447,447
75,1802112900000,"Johnson Baby Lotion 200ml (Pink)","Baby Lotion",200,220,,259,259
76,11811191213000,"Cavier UV Whitening Lotion 150ml","Baby Lotion",130,180,,77,77
77,11806111081000,"Boots Baby Lotion 500ml","Baby Lotion",450,450,,0,0
78,11812151226000,"WATSON BABY BODY LOTION 500ML","Baby Lotion",300,580,,13,13
79,11811181207000,"Aron Gluta Milky Plus Collagen Body Lotion 400ml","Baby Lotion",350,500,,172,172
80,"9556006060346 9556006060254      ","Johnson Baby Lotion 100ml","Baby Lotion",100,110,,3636,3636
81,11812151222000,"Watson Body Lotion 550ml","Baby Lotion",300,400,,103,103
82,11802278500000,"Vaseline lotion 100ml","Baby Lotion",110,130,,1,1
83,8850169547210,"Cussons Baby Oil 100ml","Baby Oil",140,160,,57,57
84,8410207175852,"Johnson Baby Oil 500ml","Baby Oil",380,400,,1,1
85,11802258250000,"Cussons Mosquito oil 100ml","Baby Oil",250,300,,0,0
86,8998103004495,"Cussons Baby Oil 200ml","Baby Oil",240,260,,2,2
