"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,1802112000000,"Skin Expart Men Aftershave+BW Set","After Shave",700,750,,0,0
2,11803088990000,"Gillette After Shave 100ml","After Shave",360,360,,24,24
3,11803088980000,"Brut After Sahve 100ml","After Shave",290,300,,48,48
4,11803068750000,"Top Car Paper AirFreshner 2ml","Air Freshener",25,50,,72,72
5,"8850175010845 8850175010821 8850175014416     ","Glade Gel 70ml","Air Freshener",80,100,,0,0
6,11803068730000,"700Car Freshner 150ml","Air Freshener",0,0,,0,0
7,11803159330000,"Glade  Gel 75ml","Air Freshener",0,0,,0,0
8,1802117000000,"Ambi Pur Car Air Freshener 7ml","Air Freshener",400,500,,0,0
9,11803159310000,"700 Car Air-Freshener ","Air Freshener",110,150,,359,359
10,4701,"Fresh N Fresh Air-Freshner 300ml","Air Freshener",140,200,,1,1
11,8850535630904,"ATM Air Freshener Refill 70gm","Air Freshener",28,32,,2458,2458
12,11803068760000,"Natural SPA 65ml","Air Freshener",120,120,,222,222
13,8850535010812,"ATM Air Freshener Hangar 70gm","Air Freshener",38,42,,12,12
14,"8992779139406 8992779140402 8992779136405     ","Glade Air Freshener 350ml","Air Freshener",200,250,,102,102
15,11803068740000,"Big Orange Airfreshner 320ml","Air Freshener",130,200,,3,3
16,"8850175012290 8850175012276 8850175012283     ","Glade Scented Gel 200ml","Air Freshener",160,180,,537,537
17,11803068720000,"Lupai/Lesiyuan  Car Air Freshener 100ml","Air Freshener",0,0,,0,0
18,8992779145100,"Glade Air Freshener 250ml","Air Freshener",160,180,,11,11
19,8850175021667,"Glade Car 7ml","Air Freshener",240,500,,201,201
20,4056800891535,"GLADE MATIC DEVICE AUTO SET","Air Freshener",300,320,,73,73
21,8994037110011,"Tokyo Air Freshner 70ml","Air Freshener",50,60,,58,58
22,"8850175018773 8850175018797 8850175018780     ","Glade Airfreshener 75ml","Air Freshener",140,200,,18,18
23,9556006012093,"Johnson Top To Toe 200ml","Baby Body Wash",170,200,,1675,1675
24,8850002016958,"Kodomo Top-to Wash 200ml","Baby Body Wash",180,215,,199,199
25,8850002016934,"Kodomo Top-to Wash 100ml","Baby Body Wash",95,115,,117,117
26,8850007090281,"Johnson Milk Bath 500ml","Baby Body Wash",350,400,,511,511
27,9556006060308,"Johnson Milk Bath 100ml","Baby Body Wash",100,110,,1348,1348
28,8850002010352,"Kodomo Baby Bath 400ml","Baby Body Wash",350,350,,54,54
29,"8850002011892 8850002012554      ","Kodomo Shampoo 400ml","Baby Body Wash",340,350,,138,138
30,1802111800000,"Johnson Top To Toe 500ml","Baby Body Wash",350,400,,489,489
31,8850002010338,"Kodomo Baby Bath 200ml","Baby Body Wash",170,215,,271,271
32,11802268400000,"Johnson Baby Bath Active Fresh 200ml","Baby Body Wash",150,200,,67,67
33,8850002010314,"Kodomo Baby Bath 100ml","Baby Body Wash",90,115,,335,335
34,9556006012086,"Johnson Top To Toe 100ml","Baby Body Wash",80,110,,2428,2428
