"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,8850007100133,"Johnsons Bath TimeBaby Giftset s","Baby Care",470,690,"Home Plus Own Collection",1,1
2,4710962431052,"Farlin Baby Wet Wipes 35pcs.","Baby Care",140,200,"M H Trade International",4,4
3,8904009615970,"Huggies Pants m (9-14kg) 5 pants","Baby Care",110,140,"MultiBrands Ltd",8,8
4,8850002006614,"Kodomo Baby Powder Gentle Soft 200ML","Baby Care",138,185,"Pentagon international ltd ",5,5
5,1403020419323,"Neocare baby diaper 32pcs(s)","Baby Care",545.4,800,"Incepta Hygiene and Hospicare Ltd",2,2
6,1403020412102,"Neocare baby diaper 10pcs(L)","Baby Care",232,340,"Incepta Hygiene and Hospicare Ltd",6,6
7,8850851535365,"Angel Rattle hood 240 ml","Baby Care",240,280,"Angel Yellow Care LTD",5,5
8,8901012191392,"Johnsons top to toe Baby wash 210ml","Baby Care",205,235,"Jhonson and Jhonson Pvt Ltd",3,3
9,11901193567200,"Jhonsons Baby Diaper Textile Sheet S","Baby Care",85,120,"sm International Ltd ",5,5
10,8904009616618,"Huggies Wonder Pants 18pcs(M)","Baby Care",405,620,"MultiBrands Ltd",4,4
11,831177120518,"Angel L size 250ml","Baby Care",150,200,"Q  Q TRADING LTD",0,0
12,4710962421602,"Farlin Baby Thin And Short Blade Safety Scissors BF-160B","Baby Care",240,300,"M H Trade International",2,2
13,8901012116555,"Johnsons Baby Podwer 50gm ","Baby Care",48,53,"Jhonson and Jhonson Pvt Ltd",5,5
14,8139003002123,"Savlon Twinkle Baby Diaper 28pcs M","Baby Care",1,725,"ACI Limited",11,11
15,8903622037145,"Mamy Poko Pants S 42 Pants ","Baby Care",680,820,"Mamy Poko",3,3
16,8941100500224,"Meril Bbay Lotion 50 ML","Baby Care",47.5,65,"SQUARE CONSUMER PRODUCTS",22,22
17,1403020419255,"Neo Care Baby Diaper 25 pcs small","Baby Care",426,625,"Incepta Hygiene and Hospicare Ltd",6,6
18,8901012189177,"Clean & Clear Foaming Face Wash 50ml	","Baby Care",65,79,"Jhonson and Jhonson Pvt Ltd",13,13
19,11712252472400,"Johnson's Baby wipes 220pcs","Baby Care",0,0,"S M International",0,0
20,4710962224203,"Farlin Silicone Nipple 1Step ","Baby Care",50,63,"Farlin Industrial Ltd",1,1
21,8850851700336,"Angel Bottle Brush ","Baby Care",150,175,"Angel Yellow Care LTD",7,7
22,831176010148,"Lil Angels Biberon Sterilisable 125ml ","Baby Care",144,180,"Angel Yellow Care LTD",11,11
23,9556311225522,"ProdentanB Pixie C Brush ","Baby Care",70,100,"Tradesworth Household Limited",12,12
24,8941100500262,"Meril Baby Shampoo With Mild Conditioner 110ml","Baby Care",65.67,90,"SQUARE TOILETRIES LIMITED",9,9
25,8904009615987,"Huggies Pants 9-14kg L size","Baby Care",120,150,"MultiBrands Ltd",5,5
26,8850002013605,"Kodomo baby powder Natural 200g","Baby Care",138,185,"Pentagon international ltd ",4,4
27,1403020424259,"Neo Care Baby Diaper 25 pcs XL","Baby Care",681.75,1000,"Incepta Hygiene and Hospicare Ltd",3,3
28,8941100500248,"MERIL BABY LOTION 200ML","Baby Care",187.72,250,"SQUARE TOILETRIES LIMITED",18,18
29,11901193567300,"Jhonsons Baby Diaper Textile Sheet M","Baby Care",85,120,"sm International Ltd ",6,6
30,8697817871927,"Unac Fresh With Lotion Baby Wet Wipes 120ps","Baby Care",160,250,"HOME BRAND",5,5
31,4710962452460,"Farlin Tableware Set PER-246","Baby Care",400,500,"M H Trade International",2,2
32,4710962433049,"Farlin baby pants waterproof","Baby Care",160,200,"Farlin Industrial Ltd",9,9
33,8139003002109,"Twinkle Baby diaper 30pcs(S)","Baby Care",1,650,"ACI Limited",9,9
34,9556006012093,"Johnsons Top-To-toe 200ml","Baby Care",220,280,"Sohel Brothers",0,0
35,8903622174017,"Mamy Poko Pants M 8 Pants","Baby Care",185,235,"Mamy Poko",6,6
36,4710962224227,"Farlin Silicone Nipple 3step ","Baby Care",50,63,"Farlin Industrial Ltd",11,11
37,8850851700404,"Angel Double Handle","Baby Care",180,220,"Angel Yellow Care LTD",4,4
38,200812061602,"ProdentalB Orange Junior Toothpaste ","Baby Care",55,79,"Tradesworth Household Limited",3,3
39,8901012113387,"Jhonsons Baby Oil 100ml","Baby Care",134.5,154,"S M International",5,5
40,8901012111031,"Jhonsons Baby Powder 200gm","Baby Care",149,167,"S M International",1,1
41,8888300193507,"Kodomo Cleanser For bottle wash 750ml","Baby Care",308,415,"Pentagon international ltd ",0,0
42,8941100500231,"MERIL BABY LOTIN 100ML","Baby Care",97.72,125,"SQUARE TOILETRIES LIMITED",26,26
43,8904009616717,"Huggies Wonder pants 20pcs(S)","Baby Care",405,620,"MultiBrands Ltd",4,4
44,8901012114186,"Johnson's Baby Milk Cream 50 gm","Baby Care",104,154,"Q  Q TRADING LTD",3,3
45,11901193567400,"Jhonsons Baby Diaper Textile Sheet L","Baby Care",135,170,"sm International Ltd ",8,8
46,4710962138081,"Farlin glass Fedding Bottle 120c.c","Baby Care",310,385,"M H Trade International",4,4
47,8850851700329,"Angel Bottle Brush 02","Baby Care",140,175,"Angel Yellow Care LTD",8,8
48,4710962441174,"Farlin Baby Finger Type Toothbrush BF-117","Baby Care",120,150,"M H Trade International",4,4
49,8901012114032,"Johnsons baby cream 100g","Baby Care",180,215,"Jhonson and Jhonson Pvt Ltd",0,0
50,8903622173010,"Mamy Poko Pants S 9 Pants ","Baby Care",185,235,"Mamy Poko",3,3
51,4710962127979,"Farlin Standard Neck Feeding Bottle","Baby Care",240,310,"M H Trade International",4,4
52,8850851511222,"Angel Silicone Nipple S size","Baby Care",35,40,"Angel Yellow Care LTD",35,35
53,1403020413321,"NeoCare Baby Diaper m32pcs","Baby Care",569.28,960,"Incepta Hygiene and Hospicare Ltd",1,1
54,8850851700275,"Angel Powder Puff ","Baby Care",200,250,"Angel Yellow Care LTD",3,3
55,831176110145,"Lil Angels Biberon 250ml","Baby Care",175,210,"Angel Yellow Care LTD",1,1
56,831177120631,"Lil Angels Spill Proof Sippy Cup","Baby Care",180,230,"Angel Yellow Care LTD",2,2
57,8941100501580,"Meril Baby Soap 75gm","Baby Care",33.3,45,"SQUARE TOILETRIES LIMITED",3,3
58,8901012116708,"Johnsons Baby Oil 50ml.","Baby Care",70,85,"Jhonson and Jhonson Pvt Ltd",2,2
59,8850002016989,"Kodomo Clenser bottle Accessories 70ml","Baby Care",235,340,"Pentagon international ltd ",0,0
60,1403020424044,"Neo Care Baby Diaper 4 pcs XL","Baby Care",109,160,"Incepta Hygiene and Hospicare Ltd",6,6
61,8904009617042,"Hugges Wonder Pants S 48 Pants ","Baby Care",1000,1530,"hagis Wonder pants",2,2
62,11901193567500,"Jhonsons Baby Diaper Textile Sheet XXL","Baby Care",135,170,"sm International Ltd ",5,5
63,11808073143500,"Lion Baby Cotton Bud 80pcs","Baby Care",40,55,"Pentagon international ltd ",0,0
64,8139003001706,"Savlon Baby wipes80s ","Baby Care",156.4,200,"ACI Limited",7,7
65,9556006000250,"Johonsons Baby Shampoo 200ml","Baby Care",180,225,"Sohel Brothers",3,3
66," 8903622037336","Mamy Poko Pants L 12 Pants","Baby Care",0,0,"Mamy Poko",0,0
67,8901012116685,"Johnsons Baby Milk Soap 75g","Baby Care",65,77,"Jhonson and Jhonson Pvt Ltd",1,1
68,8903622131072,"Mamy Poko Pants M 4 Pants ","Baby Care",85.71,125,"Mamy Poko",3,3
69,8888300800450,"Kodomo Children Toothpaste 80gm","Baby Care",110,148,"Pentagon international ltd ",2,2
70,4902430779913,"Pampers baby dry pants large 32 pants","Baby Care",825.17,999,"P And G ",0,0
71,8850851701050,"Angel Breast Pump","Baby Care",200,225,"Angel Yellow Care LTD",4,4
72,9556006060308,"Jonsons baby bath milk+rice 100ml","Baby Care",146,163,"Jhonson and Jhonson Pvt Ltd",14,14
73,8850851702170,"Angel D Drinking Cup","Baby Care",150,200,"Angel Yellow Care LTD",0,0
74,831176110855,"Lil Angels Water Filled Teether","Baby Care",0,0,"Angel Yellow Care LTD",0,0
75,831177120655,"Lil Angels BPA Free","Baby Care",200,220,"Angel Yellow Care LTD",0,0
76,9556311891338,"ProdentalB Children Toothbrush ","Baby Care",40,65,"Tradesworth Household Limited",1,1
77,8901012114124,"Jhonsons Baby diaper Rash Cream 40gm","Baby Care",0.01,120,"Jhonson and Jhonson Pvt Ltd",11,11
78,432516122011,"Kidz cotton wet Wipes","Baby Care",170,230,"kidz company",3,3
79,8850002907638,"Kodomo Happy Kids Gift Set ","Baby Care",510,680,"Pentagon international ltd ",4,4
80,8904009616755,"Huggies Wonder Pants XL 42 Pants ","Baby Care",950,1280,"hagis Wonder pants",0,0
81,8991111102658,"Johnsons Baby gift Set ","Baby Care",900,1250,"World malti Trade ",0,0
82,8850595279044,"Lion Feeding Bottle 250ml","Baby Care",80,127,"Pentagon international ltd ",1,1
83,8690536855100,"Molfix Islak Havlu wet wipes","Baby Care",152,220,"FAIR DISTRIBUTION LTD",6,6
84,8850851701814,"Angel you are ","Baby Care",180,230,"Angel Yellow Care LTD",5,5
85,8850851110074,"Angel  Fedding Bottle (RBA2A2) 60ml","Baby Care",160,200,"M H Trade International",4,4
86,8904009616632,"Huggies Wonder Pants 5pcs L","Baby Care",115,199,"MultiBrands Ltd",6,6
87,8850851532623,"Angel anti colic nipple 120ml","Baby Care",170,220,"Angel Yellow Care LTD",1,1
88,11808073143600,"Lion Baby Cotton Bud 100pcs","Baby Care",50,70,"Pentagon international ltd ",1,1
89,11901193567000,"Johnsons baby Wipes 775cm+","Baby Care",110.77,160,"sm International Ltd ",13,13
90,8903622037336,"Mamy Poko Pants L12 Pants ","Baby Care",345,460,"Mamy Poko",2,2
91,8903622176004,"Mamy Poko Pants XL 5 Pants","Baby Care",148,235,"Mamy Poko",1,1
92,8888300800467,"Kodomo Children Toothpaste   Grape Flavor 80gm","Baby Care",110,148,"Pentagon international ltd ",2,2
93,1403020419507,"Neocare baby diaper 50pcs(Small)","Baby Care",784,1150,"Incepta Hygiene and Hospicare Ltd",0,0
94,4902430779890,"Pampers baby dry pants midieum  38 pants","Baby Care",825.17,999,"P And G ",1,1
95,8850002029309,"Kodomo Baby Powder 180gm","Baby Care",137,185,"Pentagon international ltd ",7,7
96,9556006060353,"Johnsons Baby Lotion Milk Rice 200ml","Baby Care",250,312,"Jhonson and Jhonson Pvt Ltd",0,0
97,3574660209693,"johnsons Skincare baby Wipes 80pcs","Baby Care",280,355,"Mela International",15,15
98,8904009615116,"Hugges Wonder Pantes 48pants (S)","Baby Care",950,1190,"MultiBrands Ltd",0,0
99,8850851511239,"Angel Silicone Nipple M size","Baby Care",35,40,"Angel Yellow Care LTD",37,37
100,9556006060001,"Jonsons baby bath milk+rice 200ml","Baby Care",205.4,235,"Jhonson and Jhonson Pvt Ltd",9,9
101,8850851700015,"Angel Water-Filled Teether","Baby Care",120,150,"Angel Yellow Care LTD",1,1
102,8901012114179,"Jhonsons Baby Milk Cream 30gm","Baby Care",93.33,113,"S M International",9,9
103,4792054006263,"Panda Rathmal Baby Soap ","Baby Care",45,75,"Nature Care",3,3
104,8901012116333,"Jhonsons Baby Shampoo 60ml","Baby Care",114,145,"S M International",0,0
105,5000347005695,"Johnsons baby Shampoo 150ml ","Baby Care",180,235,"Mela International",12,12
106,8139003002697,"Twinkle Baby Wipes 120 pcs ","Baby Care",138.47,200,"ACI Limited",7,7
107,8850002805095,"Kodomo congratulaion gift Set ","Baby Care",815,1090,"Pentagon international ltd ",3,3
108,8139003003182,"Savlon,Baby Wipes 100ps Weight Tissue","Baby Care",156.6,195,"ACI Limited",3,3
109,1403020424105,"Neocare baby diaper 10pcs (XL)","Baby Care",272.73,400,"Incepta Hygiene and Hospicare Ltd",4,4
110,8904009616595,"Huggies Wonder Pants M 56 Pants ","Baby Care",950,1280,"hagis Wonder pants",1,1
111,8904009616724,"Huggies wonder pants .42pcs(S)","Baby Care",680,1120,"MultiBrands Ltd",0,0
112,8850595279051,"Feding Bottle 125ml M Size ","Baby Care",70,115,"Pentagon international ltd ",1,1
113,8850851700107,"Angel Water Filled Teether ","Baby Care",120,150,"M H Trade International",0,0
114,8850002010352,"Kodomo Baby Gentle Soft Soft 400Ml","Baby Care",395,525,"Pentagon international ltd ",1,1
115,8903622031242,"Mamy Poko Pants S 17 Pants ","Baby Care",345,460,"Mamy Poko",1,1
116,8888300800443,"Kodomo Children Toothpaste Strawberry Flavor","Baby Care",110,148,"Pentagon international ltd ",1,1
117,1403020412324,"Neocare Baby Diaper large 32pcs","Baby Care",742,1088,"Incepta Hygiene and Hospicare Ltd",5,5
118,4902430744416,"Pampers baby dry pants small 40 pants","Baby Care",825.17,999,"P And G ",4,4
119,4710962443093,"Farlin Bath Ball ","Baby Care",120,138,"Farlin Industrial Ltd",7,7
120,8850851511246,"Angel Silicone L size","Baby Care",35,40,"Angel Yellow Care LTD",78,78
121,8901012191354,"Jonsons baby bath milk soap 75g","Baby Care",67,77,"Jhonson and Jhonson Pvt Ltd",1,1
122,4710962141043,"Farlin Silicone Gum Soother ","Baby Care",103.5,138,"Farlin Industrial Ltd",0,0
123,8901012115022,"Jhonsons Baby lotion 100ml","Baby Care",110,137,"S M International",19,19
124,831176110145♪,"Angel Avec Poigent 250ml","Baby Care",0,0,"Angel Yellow Care LTD",0,0
125,11810273351600,"Johnson's Baby Wipes 1850cm+","Baby Care",250,360,"Masum trading",5,5
126,8901012116562,"Johnsons Baby Powder 100g","Baby Care",80,89,"Jhonson and Jhonson Pvt Ltd",14,14
127,1403020424303,"Neo Care Baby Diaper 30 pcs XL","Baby Care",711.45,1200,"Incepta Hygiene and Hospicare Ltd",2,2
128,8998866106030,"Kodomo Shampo 200Ml","Baby Care",205,250,"World malti Trade ",0,0
129,4902430820448,"Pampers,XL 26 Pants","Baby Care",799.21,999,"P And G ",2,2
130,4513574012936,"Baby Oil Mineral 300ml","Baby Care",950,1450,"Japan Beauty Cosmetics ",0,0
131,8850002006591,"Kodomo Baby Powder 50ML","Baby Care",65,90,"Pentagon international ltd ",8,8
132,8904009617028,"Huggies Pants s (4-8kg) 5 pants.","Baby Care",110,140,"MultiBrands Ltd",6,6
133,8901012189108,"Clean & Clear Natural Bright Face Wash 50ML","Baby Care",64,77,"Jhonson and Jhonson Pvt Ltd",5,5
134,8850002019690,"Kodomo Gentle Hair Baby Wash 400ml","Baby Care",395,525,"Pentagon international ltd ",4,4
135,8888300800429,"Kodomo Children Toothpaste 40gm","Baby Care",75,100,"Pentagon international ltd ",0,0
136,8903622175014,"Mamy Poko Pants L 7 Pants","Baby Care",185,235,"Mamy Poko",5,5
137,8850002029910,"Kodomo Kids Mouthwash 80 ml","Baby Care",120,160,"Pentagon international ltd ",4,4
138,8690536855704,"Molfix Islak Havlu wet wipes 63 pcs","Baby Care",190,220,"FAIR DISTRIBUTION LTD",0,0
139,8139003002420,"Savlon Twinkle Baby daiper S 44 pieces","Baby Care",725,950,"ACI Limited",5,5
140,8941100501719,"Meril Baby Tooth Brush","Baby Care",30,50,"SQUARE CONSUMER PRODUCTS",28,28
141,831177120495,"Lil angles Nipple  m","Baby Care",30,39,"Angel Yellow Care LTD",0,0
142,1403020414205,"NeoCare Baby daipaer 20pcs   4kg","Baby Care",581.8,640,"Incepta Hygiene and Hospicare Ltd",3,3
143,4710962128068,"Farlin Anti Colic S Nipple 360cc","Baby Care",250,315,"FAIR DISTRIBUTION LTD",0,0
144,4710962444311,"Farlin Baby Cotsheet","Baby Care",260,350,"Farlin Industrial Ltd",6,6
145,4710962127672,"Farlin Natural Feeding Design 2 step 3M+","Baby Care",240,275,"Angel Yellow Care LTD",3,3
146,831176010384,"Lil Angels Comb & Brush Set Brosse ET Peigne Oval","Baby Care",120,160,"Angel Yellow Care LTD",1,1
147,831177120464,"Angel Feeding Bottle O+","Baby Care",120,160,"Angel Yellow Care LTD",2,2
