"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,11804161043000,"Cathy Doll Magic cream 60gm",Cream,220,500,,0,0
2,11804161038000,"Cathy doll snail bright 50ml",Cream,700,1000,,0,0
3,11803078950000,"Face Mask ",Mask,150,200,,0,0
4,11808091117000,"Gluta whitening Ocen Vite 250ml","Body Lotion",350,800,,6,6
5,11803068830000,"Peiyen 99%+Baby Lipstick Slim 8508-8534","Lip Gel",41,60,,3165,3165
6,1802114760000,"24K Gold Mask 220ml","Peel of Musk",220,300,,193,193
7,11810111159000,"3 days Sliming Gel 200ml","Thai Balm",220,350,,0,0
8,"8859128303829 8859128302372 8859128302334 8859128302310 8859128302945 8859128302358  ","3D Face Mask","Facial Gel",350,500,,171,171
9,1802113760000,"3Dee Glass Cleaner 300ml","Glass Cleaner",80,100,,0,0
10,1802111430000,"3Diamond Cotton Bud Adult 2001","Cotton Bud",260,350,,1,1
11,11812251238000,"3pcs Hair Brush Set",Comb,165,200,,6,6
12,11903071288000,"4k Plus Whitening  Cream",Cream,500,550,,0,0
13,11803159310000,"700 Car Air-Freshener ","Air Freshener",110,150,,52,52
14,11803068730000,"700Car Freshner 150ml","Air Freshener",0,0,,0,0
15,11803058650000,"99% Aloe Vera Baby Lipsticks P8036",Lipstick,17,30,,0,0
16,11803119190000,"99% Sooting Gel 250ml Jer","Facial Toner",350,350,,13,13
17,11806031065000,"99% Sooting Gel+Scrub 120ml","Faceial Sponge",65,70,,23,23
18,11810091157000,"Abro Airfreshner 300ml","Air Freshener",90,100,,10,10
19,1802112910000,"Acmonica Eye Brow",Eyeliner,50,80,,314,314
20,8992821100415,"Acnes sealing gel 9 ml",Cream,100,180,,406,406
21,11802288550000,"Acnes Soap 80g",Soap,70,120,,1179,1179
22,1802113050000,"Acness FW 100ml","Face Wash",200,240,,0,0
23,1802113170000,"Acness FW 50ml","Face Wash",105,140,,233,233
24,"3607343816656 3607345401119 3607345380247 3614222813781    ","Adidas Body Spray 150ml","Body Spray",155,160,,54,54
25,"3607343871273 3607343871174 3607343871228     ","Adidas Rollon 50ml","Deo Roll On",120,150,,2,2
26,"3607340723346 3607340722127 3607340725982 3607343567893 3607340726682   ","Adidas Shower Gel 250ml","Body Wash",140,180,,1,1
27,"031655530079 031655671222      ","ADIDAS STICK","Deo Stick",100,200,,172,172
28,11811281221000,"Adore Lip Blam","Lip Gel",17,20,,0,0
29,11808191144000,"AHA Serum 30ml","Body Lotion",140,150,,13,13
30,11811191216000,"Aha Soap",Soap,100,150,,250,250
31,18851299001174,"Aim Brush",Toothbrush,60,80,,311,311
32,11802268300000,"Aini fresh Edt perfume 100ML	","Body Mist",160,350,,1,1
33,11904151332000,"Alada Soap",Soap,260,280,,2,2
34,1802114080000,"Almas Mehedi","Hand Gloves",35,40,,0,0
35,8859010900051,"Almaya Whitening perl Cream 5g",Cream,140,180,,188,188
36,11812251242000,"Almond Oil","Olive Oil",82,95,,198,198
37,11808131134000,"Aloe Shampoo 260ml",Shampoo,195,250,,0,0
38,11805191056000,"Aloe Vera Face powder",Facepowder,100,200,,4,4
39,11808131135000,"Aloe vera Soothing Gel 99% 260ml Sing","Face Wash",100,120,,51,51
40,11810031156000,"Aloevera Face Powder ",Facepowder,0,0,,0,0
41,8859239301349,"Aloevera Snail Soap 70g",Soap,100,160,,0,0
42,11905081358000,"ALPECIN CAFFEINE SHAMPOO C1",Shampoo,540,650,,0,0
43,11901061254000,"Alpha Arbutin 3plus Lotion 500ml","Baby Lotion",560,560,,2,2
44,11903071289000,"Alpha Arbutin Serum",Cream,165,200,,0,0
45,8858907800078,"Alpha Arbutin Soap 70g",Soap,140,200,,186,186
46,1802117000000,"Ambi Pur Car Air Freshener 7ml","Air Freshener",400,500,,0,0
47,8992895141154,"Anais BS 150ml","Body Spray",650,850,,13,13
48,8859244200019,"Anasia Nail Remover 120ml","Nail Remover",90,120,,0,0
49,8859244200026,"Anasia Nail Remover 45ml","Nail Remover",40,60,,1,1
50,11804121004000,"Anchore Brand Brush","Show polish",54.17,100,,38,38
51,1802111610000,"Angelina Eye Brow",Eyebrow,50,80,,0,0
52,1802114560000,"Angelina Nail Remover 100ml","Nail Remover",90,120,,0,0
53,1802114600000,"Angelina Nail Remover 20ml","Nail Remover",40,60,,101,101
54,"8850722126869 8858918300932      ","Annasia Lip Gloss 4ml","Lip Gel",40,60,,36,36
55,11802288640000,"Anovia Kids Sunlotion 65ml","Baby Lotion",220,250,,66,66
56,8851495001117,"Anti Lice Shampoo 200ML",Shampoo,350,500,,131,131
57,"8851495003296 8851495002572      ","Anti Lice Shampoo 20ML",Shampoo,45,60,,0,0
58,11807221091000,"Apple Nail Cutter Set","Nail Cutter Set",70,100,,7,7
59,11905061356000,"AQUAFRESH BABY BRUSH UK","Baby Toothbrush",100,110,,94,94
60,11905061355000,"AQUAFRESH BABY PASTE 50ML","Baby Toothpaste",115,130,,10,10
61,6001424129906,"Aquafresh Brush (C)",Toothbrush,30,33,,11,11
62,11901221273000,"AQUAFRESH PASTE 125ML",Toothpaste,160,170,,93,93
63,11901031244000,"AQUAFRESH PASTE 75ML",Toothpaste,150,160,,0,0
64,5000347000898,"Aquafresh Toothpaste 100ml",Toothpaste,160,180,,0,0
65,11809241155000,"Aramusk Perfume Body spray ","Body Spray",230,240,,0,0
66,8850252030049,"Arche Pearl Cream 3ml",Cream,600,620,,10,10
67,1802111560000,"Argan Hair Treatment","Hair Treatment",260,300,,0,0
68,5060120163714,"Argan Oil  100ml","Hair Treatment",240,250,,1,1
69,1802111570000,"Argan Oil  50ml","Hair Treatment",120,15040,,47,47
70,8853502010280,"Argeville USA Black Soap 120gm",Soap,70,75,,7660,7660
71,"3360372115601 3360372058892      ","Armani Body Spray 150ml","Body Spray",1050,1250,,0,0
72,8850722092751,"Aron Aloe Face wash 150ml","Face Wash",150,280,,148,148
73,8850722067933,"Aron Baby lipstick 16ml",Lipstick,200,250,,158,158
74,"8850722129471 8850722129464 8850722068893     ","Aron BB Magic Lip Care 3.5gm","Lip Gel",50,80,,1109,1109
75,11811181210000,"Aron Bunny  Body Lotion 400ml","Body Lotion",400,500,,474,474
76,1802114210000,"Aron Color Lip Care 3.5g","Lip Gel",80,90,,0,0
77,8850722131795,"Aron Eye Brow",Eyeliner,50,80,,0,0
78,8850722180328,"Aron Eyeliner",Eyeliner,90,120,,223,223
79,8850722080277,"Aron Eyeshadow Platte 12 Colour",Eyeshadow,300,400,,0,0
80,"8850722291659 8850722291666      ","Aron Gluta Face& Body Scrub 150ml","Face Wash",200,250,,0,0
81,8850722044590,"Aron Gluta Milky Body Lotion 800ml","Body Lotion",550,850,,80,80
82,11811181207000,"Aron Gluta Milky Plus Collagen Body Lotion 400ml","Baby Lotion",350,500,,157,157
83,8850722400068,"Aron Goat Milk Hair Treatment 500ml","Hair Treatment",270,400,,123,123
84,"8850722043708 8850722200514      ","Aron Gold Lotion UV50 300ml","Body Lotion",250,350,,481,481
85,11811181208000,"Aron Hair Serum  Butterfly Pea 85ml","Hair Serum",250,350,,11,11
86,8850722129259,"Aron Imortal Lipstick",Lipstick,150,180,,192,192
87,11811181211000,"Aron Intrend Lipstick 16ml",Lipstick,0,0,,0,0
88,8850722044323,"Aron Lemon Whitening Body Lotion 400ml","Body Lotion",350,480,,283,283
89,11803199500000,"Aron Lip Plate Set",Lipstick,300,400,,10,10
90,8850722126852,"Aron Lip Tiant Colour",Lipstick,80,120,,337,337
91,"8850722093017 8850722092928      ","Aron milky Charcoal facewash 190ml","Face Wash",160,250,,481,481
92,8850722039121,"Aron Oil Control Face Powder 14g",Facepowder,90,150,,33,33
93,8850722044620,"Aron Snail Now Body Lotion 400ml","Body Lotion",300,400,,0,0
94,11804151030000,"Aron Snail White Body Lotion 800ml","Body Lotion",550,800,,0,0
95,11811181209000,"Aron Sunscreen SPF 50 PA++ 30ml",Cream,150,250,,2,2
96,11811181206000,"Aron Tomato Aloe Snail Face Wash 190ml","Face Wash",200,300,,1330,1330
97,8853955002979,"Aron UV Lipgloss 3.2ml","Lip Gel",100,120,,0,0
98,8850722043647,"Aron UV Lotion 250ml","Body Lotion",140,200,,0,0
99,8850722043203,"Aron V-E Serum Lotion 400ml","Body Lotion",350,380,,222,222
100,1802114190000,"Aron Vitamin-E Moisturizing Lip Care 3.5g","Lip Gel",80,120,,7,7
101,8850722093079,"Aron Water Melon F.W 190ml","Face Wash",220,280,,1417,1417
102,8850722091990,"Aron Whitening Oil Control Facial Fome 210ml","Face Wash",150,220,,13,13
103,11811181197000,"ART chalk ",Cockroach,65,90,,8,8
104,8850273151303,"ART Rat Killer 80ml","Baygon Spray",85,120,,483,483
105,8855753000010,"Asantee Tamarind Goat Milk Soap 135g",Soap,100,150,,530,530
106,"7640129890118 7640129892198 7640129892662     ","Asap Soap 80gm",Soap,70,90,,4,4
107,50007820,"Astral Cream 50ml",Cream,120,130,,0,0
108,8850535010812,"ATM Air Freshener Hangar 70gm","Air Freshener",36,40,,647,647
109,8850535630904,"ATM Air Freshener Refill 70gm","Air Freshener",30,35,,329,329
110,11804151029000,"ATM Napthaline  50ml",Napthaline,300,350,,140.2,140.2
111,8859288000569,"Aura White Virgin Soap 120gm",Soap,300,300,,15,15
112,"8888047857045 8888047857014      ","Aussie Hand Wash 414ml","Hand Wash",100,120,,83,83
113,5037378006322,"Autumn & may Lotion 500ml Uk","Body Lotion",500,700,,0,0
114,1802113810000,"Avon Hair Color","Hair Color",450,500,,0,0
115,8888115000144,"Axe oil 10ml","Olive Oil",100,100,,0,0
116,8888115000137,"Axe oil 14ml","Olive Oil",120,125,,0,0
117,8888115000120,"Axe Oil 28ml","Thai Balm",170,180,,2,2
118,"8992895300025 8992895300018 8992915600036     ","AXL Deo Body Spray 150ml","Body Spray",350,500,,12,12
119,8993417502217,"B & B Cologne 120ml","Baby Cologne Spray",120,180,,55,55
120,"8993417176227 8993417476266 8993417476235 8993417176234    ","B & B Kids Body Powder 150gm","Baby Powder",120,120,,238,238
121,11809111151000,"B Tex Expart Lotion 250ml","Body Lotion",240,280,,67,67
122,5012251007047,"B.F Foot Cream 100ml",Cream,240,280,,0,0
123,11901261281000,"B/F ACTIVE CHARCOAL BRUSH",Toothbrush,80,100,,132,132
124,11905081374000,"B/F ARGAN OIL WAX STRIPS 20S","Hair Removal Cream",120,180,,78,78
125,11901221268000,"B/F Charcoal Soap ",Soap,110,180,,36,36
126,11901221270000,"B/F Facewash  100ml","Face Wash",140,180,,279,279
127,11901221269000,"B/F Facewash  150ml","Face Wash",180,200,,416,416
128,5012251012348,"B/F Wax Strips",Strips,100,160,,226,226
129,11901061251000,"Baby Bright Aloe Wips 142ml","Faceial Sponge",140,200,,633,633
130,11903311326000,"Baby Bright Anti-acne Facepowder 95g",Facepowder,300,350,,12,12
131,11803229560000,"Baby Brush twin 024","Baby Toothbrush",60,80,,832,832
132,1802114130000,"Baby Lips","Lip Gel",20,25,,0,0
133,11806261083000,"Baby Lips Pen Lipstick 8097",Lipstick,30,60,,2040,2040
134,8851123341035,"Baby Mild Powder 180gm","Baby Powder",120,180,,3,3
135,"8993417372230 8993417312236 8993417372216 8993417312229 8993417312212 8993417312243 8993417312267 ","Baby Mist Cologne 100ml (Buy6get1free)","Body Mist",100,160,,1013,1013
136,"8993417372131 8993417172113 8993417372117 8993417372124 8993417172120   ","Baby Mist Cologne 60ml (Buy1get1free)","Body Mist",80,120,,3342,3342
137,11803068790000,"Baby Toothbrush 024","Baby Toothbrush",62,80,,18,18
138,11803068780000,"Baby Toothbrush 8606","Baby Toothbrush",0,0,,0,0
139,11803068800000,"Baby Toothbrush 9036","Baby Toothbrush",0,0,,0,0
140,11803068770000,"Baby Toothbrush A 09,A013,A08,A02","Baby Toothbrush",26.67,30,,2368,2368
141,11807211088000,"Bamboo 98% Sooting  Gel","Facial Toner",220,240,,0,0
142,8855555555558,"Bamboo Toothpick 1001 pak","Dental Floss",30,40,,2,2
143,1802112490000,"Bamboo Toothpick Jar","Dental Floss",24,30,,5243,5243
144,11807221089000,"Bamboo Toothpick Match 40x1",Toothbrush,9,10,,34,34
145,8999338169997,"Barber Hair Muse 180ml","Hair Muse",180,180,,11,11
146,11808091115000,"Bargamont Herbal Shampoo 3319",Shampoo,280,450,,43,43
147,11808091116000,"Bargamont Herbal Shampoo 852",Shampoo,250,450,,84,84
148,11904181341000,"Batiste Dry Shampoo 150ml UK",Shampoo,300,320,,58,58
149,6949392944858,"Be Matte Lipstick",Lipstick,60,70,,192,192
150,11803149270000,"Beauty Blander ","Faceial Sponge",40,50,,1,1
151,5012251008105,"Beauty Formula Foot Powder 100g","Foot Scrub",250,280,,1,1
152,"5012251011327 5012251009621      ","Beauty Formula Nose Strips","Face Wash",90,150,,560,560
153,11802268420000,"Bellagio Body Spray 80ml	","Baygon Spray",160,200,,191,191
154,8992832603684,"Bellagio Deodorant Spray 175ml","Body Spray",350,500,,111,111
155,"8992832191167 8992832191181 8992832603622 8992832191198 8992832191174   ","Bellagio Homme Cologne Spray 100ml","Body Spray",300,350,,311,311
156,11803139210000,"Bellagio Homme Edt 50ml","Body Mist",250,359,,0,0
157,11811181190000,"Bennett Extra White Soap 130ML",Soap,170,250,,86,86
158,11904231350000,"Berman Active Toothbrush 3pcs Set",Toothbrush,150,170,,192,192
159,11904211348000,"Berman Active Toothbrush Single ",Toothbrush,55,80,,1344,1344
160,"8850233260236 8850233260069      ","Bhasaj Body Lotion 150ml","Body Lotion",100,220,,38,38
161,11803068740000,"Big Orange Airfreshner 320ml","Air Freshener",130,160,,212,212
162,8858838100056,"Bigen Color POwder 6ml","Hair Color",100,120,,4,4
163,11803199460000,"Bio Active Aloevera Soap100ml(Buy1Doz Get1free)",Soap,83,200,,186,186
164,11804151016000,"Bio Active Banana Crack Heel cream 50ML","Heel cream",130,200,,1502,1502
165,8850722045016,"Bio Active Body Whitening Cream 100ml",Cream,230,320,,3397,3397
166,11804151019000,"Bio Active Cow Milk  Face Wash 100ML","Face Wash",95,150,,813,813
167,11803199430000,"Bio Active Dark Spot Remover Soap 100ml",Soap,83,200,,1976,1976
168,11804151018000,"Bio Active Face Mask Charcoal &  Bamboo 100ML","Peel of Musk",120,150,,0,0
169,11804151017000,"Bio Active Face Mask Charcoal & AloeVera 100ML","Peel of Musk",120,150,,1701,1701
170,8850722530819,"Bio Active Facial Whitening Cream 100ml",Cream,230,320,,3017,3017
171,11804151020000,"Bio Active Goat  Milk  Face Wash 100ml","Face Wash",100,150,,0,0
172,11803149290000,"Bio Active Goat Milk Soap 100ml",Soap,85,200,,685,685
173,11810111166000,"Bio Active Men Whitening Cream 100ml",Cream,230,320,,1564,1564
174,11803199450000,"Bio Active Milk Soap 100ml",Soap,83,200,,465,465
175,11803199440000,"Bio Active Sulfur Soap 100ml",Soap,83,200,,1571,1571
176,8850722200941,"Bio Active Sun Protection Cream 75ml",Cream,230,320,,1758,1758
177,8853252009909,"Bio Anne Bust Cream 60ml","Bust Cream",250,280,,3,3
178,"8809014275020 8809435660108 8809014275013     ","Bio Care Brush (Korea)",Toothbrush,130,160,,0,0
179,6001159111351,"Bio oil 125ml","Body Massage Oil",700,720,,0,0
180,11804171045000,"Bio Oil 60ml","Olive Oil",420,450,,3,3
181,8857098000014,"Bio Way Shampoo 240ml",Shampoo,350,400,,0,0
