"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,1802112000000,"Skin Expart Men Aftershave+BW Set","After Shave",700,750,,0,0
2,11803088990000,"Gillette After Shave 100ml","After Shave",360,360,,0,0
3,11803088980000,"Brut After Sahve 100ml","After Shave",290,300,,1,1
4,11808141138000,"Tabac Aftershave 100ml","After Shave",750,800,,0,0
5,8992779145100,"Glade Air Freshener 250ml","Air Freshener",140,180,,11,11
6,11804151014000,"Daily Fresh Gel 70gm","Air Freshener",160,200,,605,605
7,4701,"Fresh N Fresh Air-Freshner 300ml","Air Freshener",140,200,,0,0
8,8850175021667,"Glade Car 7ml","Air Freshener",240,500,,25,25
9,8994037110011,"Oxy FW 100ml ","Air Freshener",200,240,,0,0
10,"8992779139406 8992779140402 8992779136405     ","Glade Air Freshener 350ml","Air Freshener",200,250,,0,0
11,11803159330000,"Glade  Gel 75ml","Air Freshener",140,200,,121,121
12,"8850175012290 8850175012276 8850175012283     ","Glade Scented Gel 200ml","Air Freshener",170,180,,0,0
13,11803068750000,"Top Car Paper AirFreshner 2ml","Air Freshener",25,50,,734,734
14,4056800891535,"GLADE MATIC DEVICE AUTO SET","Air Freshener",400,800,,123,123
15,11803159310000,"700 Car Air-Freshener ","Air Freshener",110,150,,52,52
16,11803068730000,"700Car Freshner 150ml","Air Freshener",0,0,,0,0
17,1802117000000,"Ambi Pur Car Air Freshener 7ml","Air Freshener",400,500,,0,0
18,8850535630904,"ATM Air Freshener Refill 70gm","Air Freshener",30,35,,2682,2682
19,8850535010812,"ATM Air Freshener Hangar 70gm","Air Freshener",38,45,,3599,3599
20,"8850175018773 8850175018797 8850175018780     ","Glade Airfreshener 75ml","Air Freshener",140,200,,0,0
21,"8850175010845 8850175010821 8850175014416     ","Glade Gel 70ml","Air Freshener",90,100,,372,372
22,11803068760000,"Natural SPA 65ml","Air Freshener",120,120,,53,53
23,11810091157000,"Abro Airfreshner 300ml","Air Freshener",90,100,,18,18
24,11803068740000,"Big Orange Airfreshner 320ml","Air Freshener",130,160,,222,222
25,11803068720000,"Lupai/Lesiyuan  Car Air Freshener 100ml","Air Freshener",100,150,,686,686
26,9556006000304,"Johnson Milk Bath 200ml","Baby Body Wash",160,200,,2126,2126
27,8850002019690,"Kodomo Top-to Wash 400ml","Baby Body Wash",370,380,,0,0
28,"8850002011892 8850002012554      ","Kodomo Shampoo 400ml","Baby Body Wash",340,350,,36,36
29,9556006012093,"Johnson Top To Toe 200ml","Baby Body Wash",155,200,,34,34
30,8850002016958,"Kodomo Top-to Wash 200ml","Baby Body Wash",250,300,,1,1
31,8850002016934,"Kodomo Top-to Wash 100ml","Baby Body Wash",90,115,,0,0
32,11804059720000,"Kodomo Body Wash 180ml Pump","Baby Body Wash",130,200,,514,514
33,8850007090281,"Johnson Milk Bath 500ml","Baby Body Wash",350,400,,36,36
34,9556006060308,"Johnson Milk Bath 100ml","Baby Body Wash",105,120,,43,43
35,8850002010352,"Kodomo Baby Bath 400ml","Baby Body Wash",340,370,,13,13
36,1802111800000,"Johnson Top To Toe 500ml","Baby Body Wash",350,400,,2,2
37,8850002010338,"Kodomo Baby Bath 200ml","Baby Body Wash",170,215,,0,0
38,8850002010314,"Kodomo Baby Bath 100ml","Baby Body Wash",90,115,,0,0
39,9556006012086,"Johnson Top To Toe 100ml","Baby Body Wash",88,110,,16,16
40,11802268400000,"Johnson Baby Bath Active Fresh 200ml","Baby Body Wash",150,200,,0,0
41,"8991111102719 8991111101613      ","Johnson Baby Cologne 125ml","Baby Cologne",160,180,,82,82
42,8993417502217,"B & B Cologne 120ml","Baby Cologne Spray",120,180,,57,57
43,"88531649 88530208      ","Johnson Baby Cream Milk/Pink 50ml","Baby Cream",180,190,,1,1
44,11808091126000,"Johnson Baby Cream (Milk) 100ml","Baby Cream",300,320,,0,0
45,11808091124000,"Johnson Baby Cream (MIlk) 50ml","Baby Cream",200,220,,6,6
46,11803068900000,"Johnson Baby Cream Milk 50ml","Baby Cream",200,200,,180,180
47,88530215,"Johnson Baby Cream Milk/Pink 100ml","Baby Cream",270,285,,1,1
48,11808091123000,"Johnson Baby Cream (Pink) 50ml","Baby Cream",180,200,,425,425
49,8998103001029,"Cussons Baby Set Mini","Baby Gift Set",260,300,,0,0
50,1802112300000,"Johnson Gift Set Large","Baby Gift Set",700,850,,290,290
51,11809091147000,"Kodomo gift box Juri","Baby Gift Set",1000,1200,,19,19
52,8850002907645,"Kodomo Gift Set Large Box","Baby Gift Set",800,880,,2,2
53,1802112400000,"Johnson Gift Set Small","Baby Gift Set",440,450,,1528,1528
54,11809091146000,"Johnson Gift Box Small","Baby Gift Set",430,460,,102,102
55,11804059710000,"Johnson Gift Box Large (Paper)","Baby Gift Set",750,850,,127,127
56,8850002907638,"Kodomo Gift Set Small","Baby Gift Set",450,500,,8,8
57,11803109110000,"Vipada Whitening Lotion 200ml","Baby Lotion",165,220,,1,1
58,11808091119000,"eighteen white venut Lotion 500ml","Baby Lotion",250,500,,338,338
59,"9556006060346 9556006060254      ","Johnson Baby Lotion 100ml","Baby Lotion",100,110,,4407,4407
60,11803089070000,"Dove Lotion 400ml","Baby Lotion",315,320,,0,0
61,11802288640000,"Anovia Kids Sunlotion 65ml","Baby Lotion",220,250,,158,158
62,11806111081000,"Boots Baby Lotion 500ml","Baby Lotion",450,450,,0,0
63,9556006060353,"Johnson Baby Lotion 200ml (Milk)","Baby Lotion",200,240,,408,408
64,8850002019614,"Kodomo Lotion 200ml","Baby Lotion",220,245,,0,0
65,11809091150000,"MISTEN BODY SERUM 150ML","Baby Lotion",280,350,,159,159
66,"8850007032274 8850007032267      ","Johnson Baby Lotion 500ml","Baby Lotion",450,550,,13,13
67,11802278500000,"Vaseline lotion 100ml","Baby Lotion",110,130,,41,41
68,11805081048000,"Jhonsons Baby lotion 100ml Pink","Baby Lotion",95,95,,0,0
69,11806111080000,"Mother Care Lotion 300ml","Baby Lotion",430,430,,0,0
70,11802258290000,"Isme Lotion 150ml","Baby Lotion",150,200,,0,0
71,8858989875230,"Tomato Lotion 500ml Thai","Baby Lotion",500,850,,1,1
72,11802288590000,"Nivea Lotion 100ml","Baby Lotion",100,150,,849,849
73,1802112900000,"Johnson Baby Lotion 200ml (Pink)","Baby Lotion",200,220,,626,626
74,8850169547210,"Cussons Baby Oil 100ml","Baby Oil",140,160,,57,57
75,8410207175852,"Johnson Baby Oil 500ml","Baby Oil",380,400,,13,13
76,8998103004495,"Cussons Baby Oil 200ml","Baby Oil",240,260,,2,2
77,8410207115872,"Johnson Baby Oil 300ml","Baby Oil",220,240,,0,0
78,11802258250000,"Cussons Mosquito oil 100ml","Baby Oil",250,300,,3,3
79,"8850007010241 8850007010104      ","Johnson Baby Powder 50gm","Baby Powder",36,38,,2197,2197
80,"8993417176227 8993417476266 8993417476235 8993417176234    ","B & B Kids Body Powder 150gm","Baby Powder",120,120,,246,246
81,8851123341035,"Baby Mild Powder 180gm","Baby Powder",120,180,,93,93
82,8998103012308,"Cussons Baby Powder 350+150gm","Baby Powder",160,200,,0,0
83,11804151012000,"Kodomo Baby Powder 180gm","Baby Powder",110,130,,679,679
84,1802113600000,"Johnson Baby Powder 100gm Pink/White","Baby Powder",65,80,,6298,6298
85,11807281094000,"Cussons Baby powder 200+100G","Baby Powder",120,195,,26,26
86,11804121002000,"ST Zukes Baby Powder 150ml","Baby Powder",120,150,,0,0
87,"8850002850415 8850002851962      ","Enfant Baby Powder 500ml","Baby Powder",140,180,,61,61
88,"8993417384219 8993417384233      ","Eskulin Disney Baby Powder 150gm","Baby Powder",120,120,,354,354
89,"8850007010265 8850007010302      ","Johnson Baby Powder 200gm","Baby Powder",95,115,,905,905
90,8850002006614,"Kodomo Baby Powder 200ml Extra 50ml","Baby Powder",100,120,,217,217
