"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,1802114760000,"24K Gold Mask 220ml","Peel of Musk",250,300,,0,0
2,"8859128303829 8859128302372 8859128302334 8859128302310 8859128302945 8859128302358  ","3D Face Mask","Facial Gel",350,500,,0,0
3,1802113760000,"3Dee Glass Cleaner 300ml","Glass Cleaner",80,100,,0,0
4,1802111430000,"3Diamond Cotton Bud Adult 2001","Cotton Bud",300,350,,0,0
5,1802112910000,"Acmonica Eye Brow",Eyeliner,50,80,,0,0
6,8992821100415,"Acnes sealing gel 9 ml",Cream,160,200,,0,0
7,1802113050000,"Acness FW 100ml","Face Wash",180,240,,0,0
8,1802113170000,"Acness FW 50ml","Face Wash",100,140,,0,0
9,"3607343816656 3607345401119 3607345380247 3614222813781    ","Adidas Body Spray 150ml","Body Spray",160,165,,0,0
10,"3607343871273 3607343871174 3607343871228     ","Adidas Rollon 50ml","Deo Roll On",120,150,,0,0
11,"3607340723346 3607340722127 3607340725982 3607343567893 3607340726682   ","Adidas Shower Gel 250ml","Body Wash",140,180,,0,0
12,"031655530079 031655671222      ","ADIDAS STICK","Deo Stick",100,200,,0,0
13,18851299001174,"Aim Brush",Toothbrush,60,80,,0,0
14,1802114080000,"Almas Mehedi","Hand Gloves",35,40,,0,0
15,8859010900051,"Almaya Whitening perl Cream 5g",Cream,140,180,,0,0
16,"6955702401386 6925267301728      ","Aloe 99% Soothing Gel 250ml","Facial Gel",140,150,,0,0
17,8859239301349,"Aloevera Snail Soap 70g",Soap,100,160,,0,0
18,8858907800078,"Alpha Arbutin Soap 70g",Soap,140,200,,0,0
19,1802117000000,"Ambi Pur Car Air Freshener 7ml","Air Freshener",400,500,,0,0
20,8992895141154,"Anais BS 150ml","Body Spray",650,850,,0,0
21,8859244200019,"Anasia Nail Remover 120ml","Nail Remover",90,120,,0,0
22,8859244200026,"Anasia Nail Remover 45ml","Nail Remover",40,60,,0,0
23,1802111610000,"Angelina Eye Brow",Eyebrow,50,80,,0,0
24,1802114560000,"Angelina Nail Remover 100ml","Nail Remover",90,120,,0,0
25,1802114600000,"Angelina Nail Remover 20ml","Nail Remover",40,60,,0,0
26,"8850722126869 8858918300932      ","Annasia Lip Gloss 4ml","Lip Gel",40,60,,0,0
27,8851495001117,"Anti Lice Shampoo 200ML",Shampoo,300,500,,0,0
28,"8851495003296 8851495002572      ","Anti Lice Shampoo 20ML",Shampoo,45,60,,0,0
29,6001424129906,"Aquafresh Brush (C)",Toothbrush,30,33,,0,0
30,5000347000898,"Aquafresh Toothpaste 100ml",Toothpaste,160,180,,0,0
31,8850252030049,"Arche Pearl Cream 3ml",Cream,552,600,,0,0
32,1802111560000,"Argan Hair Treatment","Hair Treatment",260,300,,0,0
33,5060120163714,"Argan Oil  100ml","Hair Treatment",240,250,,0,0
34,1802111570000,"Argan Oil  50ml","Hair Treatment",140,150,,0,0
35,8853502010280,"Argeville USA Black Soap 120gm",Soap,70,80,,0,0
36,"3360372115601 3360372058892      ","Armani Body Spray 150ml","Body Spray",1050,1250,,0,0
37,8850722092751,"Aron Aloe Face wash 150ml","Face Wash",150,280,,0,0
38,8850722067933,"Aron Baby lipstick 16ml",Lipstick,160,250,,0,0
39,"8850722129471 8850722129464 8850722068893     ","Aron BB Magic Lip Care 3.5gm","Lip Gel",50,80,,0,0
40,1802114210000,"Aron Color Lip Care 3.5g","Lip Gel",80,90,,0,0
41,8850722131795,"Aron Eye Brow",Eyeliner,50,80,,0,0
42,8850722180328,"Aron Eyeliner",Eyeliner,90,120,,0,0
43,8850722080277,"Aron Eyeshadow Platte 12 Colour",Eyeshadow,300,400,,0,0
44,"8850722291659 8850722291666      ","Aron Gluta Face& Body Scrub 150ml","Face Wash",200,250,,0,0
45,8850722044590,"Aron Gluta Milky Body Lotion 800ml","Body Lotion",650,850,,0,0
46,8850722400068,"Aron Goat Milk Hair Treatment 500ml","Hair Treatment",350,400,,0,0
47,"8850722043708 8850722200514      ","Aron Gold Lotion UV50 300ml","Body Lotion",200,350,,0,0
48,8850722129259,"Aron Imortal Lipstick",Lipstick,150,180,,0,0
49,8850722044323,"Aron Lemon Whitening Body Lotion 400ml","Body Lotion",300,480,,0,0
50,8850722126852,"Aron Lip Tiant Colour",Lipstick,80,120,,0,0
51,"8850722093017 8850722092928      ","Aron milky Charcoal facewash 190ml","Face Wash",160,250,,0,0
52,8850722039121,"Aron Oil Control Face Powder 14g",Facepowder,90,150,,0,0
53,8850722044620,"Aron Snail Now Body Lotion 400ml","Body Lotion",300,400,,0,0
54,8853955002979,"Aron UV Lipgloss 3.2ml","Lip Gel",100,120,,0,0
55,8850722043647,"Aron UV Lotion 250ml","Body Lotion",180,200,,0,0
56,8850722043203,"Aron V-E Serum Lotion 400ml","Body Lotion",200,380,,0,0
57,1802114190000,"Aron Vitamin-E Moisturizing Lip Care 3.5g","Lip Gel",80,120,,0,0
58,8850722093079,"Aron Water Melon F.W 190ml","Face Wash",150,250,,0,0
59,8850722091990,"Aron Whitening Oil Control Facial Fome 210ml","Face Wash",150,220,,0,0
60,8850273151303,"ART Rat Killer 80ml","Baygon Spray",90,120,,0,0
61,8855753000010,"Asantee Tamarind Goat Milk Soap 135g",Soap,90,150,,0,0
62,"7640129890118 7640129892198 7640129892662     ","Asap Soap 80gm",Soap,70,90,,0,0
63,50007820,"Astral Cream 50ml",Cream,120,130,,0,0
64,8850535010812,"ATM Air Freshener Hangar 70gm","Air Freshener",38,42,,0,0
65,8850535630904,"ATM Air Freshener Refill 70gm","Air Freshener",28,32,,0,0
66,8859288000569,"Aura White Virgin Soap 120gm",Soap,120,300,,0,0
67,"8888047857045 8888047857014      ","Aussie Hand Wash 414ml","Hand Wash",100,120,,0,0
68,5037378006322,"Autumn & may Lotion 500ml Uk","Body Lotion",500,700,,0,0
69,1802113810000,"Avon Hair Color","Hair Color",450,500,,0,0
70,8888115000144,"Axe oil 10ml","Olive Oil",100,100,,0,0
71,8888115000137,"Axe oil 14ml","Olive Oil",120,125,,0,0
72,8888115000120,"Axe Oil 28ml","Thai Balm",170,180,,0,0
73,"8992895300025 8992895300018 8992915600036     ","AXL Deo Body Spray 150ml","Body Spray",350,500,,0,0
